	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	4054.86842105	0.883516483516	2430.0	10.0199936324	0.997347966719
CK-2	4423.62355658	0.873926073926	2586.0	10.1643748601	0.997516729025
CK-3	3664.73846154	0.895304695305	2258.0	9.81169829362	0.996775971281
TA-1	3317.80108992	0.902597402597	2024.0	9.42006418036	0.994894915275
TA-2	3600.16076294	0.897202797203	2159.0	9.64112947312	0.996134195475
TA-3	3483.33695652	0.9000999001	2126.0	9.63398632129	0.996110702484
TB-1	3982.2247191	0.888111888112	2222.0	9.65686738385	0.99650243862
TB-2	3733.29133858	0.892107892108	2204.0	9.65024118117	0.996196650502
TB-3	3886.04050633	0.887212787213	2274.0	9.70226109262	0.996614474437
TC-3	3483.64705882	0.899300699301	2062.0	9.49170440297	0.99622926524
TC-2	3044.12890625	0.916983016983	1697.0	8.90465523245	0.993418309962
TC-1	3229.44012945	0.908991008991	1888.0	9.26771650689	0.995242579598
