	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6690.74545455	0.982707916716	5382.0	10.330148255	0.997565157851
CK-2	7263.46111111	0.98123750147	5851.0	10.5210461823	0.997640053722
CK-3	5767.45821727	0.986236913304	4815.0	10.1133763891	0.996930817428
TA-1	6286.1443299	0.982860839901	4724.0	9.70453014012	0.994971756196
TA-2	6496.27793696	0.982307963769	4877.0	9.85727924307	0.995926493753
TB-1	6757.22036082	0.981519821198	5168.0	9.98523229286	0.99663682626
TB-2	6887.15290934	0.981166921539	5154.0	9.9687340779	0.996501028457
TB-3	6862.21673004	0.981213974826	5247.0	9.98120405354	0.99662854724
TC-3	6122.68038409	0.98321373956	4727.0	9.74252802484	0.996273241503
TC-2	5152.25976231	0.985931066933	3939.0	9.15789591597	0.993654522899
TC-1	5769.00879765	0.98399011881	4412.0	9.50612014156	0.99530883674
