	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5850.89787798	0.967673850255	4448.0	10.2786407473	0.997531316574
CK-2	6641.32176235	0.963341479671	4825.0	10.4570606935	0.99763308171
CK-3	5199.58167939	0.972406131971	4023.0	10.0615247224	0.996925441684
TA-1	5458.86868687	0.969340146634	3857.0	9.65702172688	0.99488632633
TA-2	5805.57043478	0.967718284826	3971.0	9.82043174937	0.995969866431
TA-3	5561.39102564	0.968895800933	3992.0	9.82553685257	0.995760741608
TB-1	5877.165625	0.967185069984	4174.0	9.92209570286	0.996596214196
TB-2	5933.41491086	0.966762941569	4121.0	9.91374603115	0.996535584356
TB-3	6003.91428571	0.965674294601	4300.0	9.95291421612	0.996670414301
TC-3	5245.95552147	0.96989557876	3839.0	9.70545529976	0.996283541326
TC-2	4460.53024194	0.974627860475	3147.0	9.10989524584	0.993658449397
TC-1	4974.34774775	0.971828482559	3527.0	9.45277217297	0.995332226895
