	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6720.89321608	0.982743206682	5370.0	10.3299122789	0.997579273561
CK-2	7201.46723953	0.981319844724	5848.0	10.5115395556	0.997632076361
CK-3	5782.87569832	0.986131043407	4813.0	10.1099537308	0.99692322143
TA-1	6295.9756447	0.982696153394	4747.0	9.70484414077	0.994956108114
TA-2	6538.86016949	0.982096223974	4904.0	9.863574996	0.995906624934
TB-1	6681.41296061	0.981778614281	5158.0	9.98658659172	0.996655123685
TB-2	6885.38964578	0.981272791436	5160.0	9.97263577421	0.996527270586
TB-3	6715.5710754	0.981719797671	5224.0	9.98434638708	0.996646945125
TC-3	6133.00140449	0.983260792848	4712.0	9.73995769676	0.99626179866
TC-2	5391.22800718	0.985213504294	3974.0	9.16131432787	0.993651134354
TC-1	5901.12312312	0.983566639219	4437.0	9.51099163358	0.995327909622
