	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	4868.1205036	0.933333333333	3269.0	10.171815261	0.997577952653
CK-2	5326.96141479	0.925987006497	3565.0	10.3507605197	0.997629980612
CK-3	4451.45816733	0.939980009995	3016.0	9.9572504705	0.99684805773
TA-1	4073.84567901	0.94347826087	2759.0	9.55784167597	0.994986449804
TA-2	4290.43478261	0.941229385307	2860.0	9.70040027414	0.99590820282
TA-3	4619.01265823	0.936981509245	2943.0	9.74739372154	0.99588774828
TB-1	4669.46052632	0.934882558721	3075.0	9.84186511404	0.99666151432
TB-2	4616.30645161	0.936831584208	3007.0	9.81786641476	0.996509236636
TB-3	4712.26508227	0.933583208396	3099.0	9.84162134764	0.996626124719
TC-3	4346.63636364	0.939780109945	2813.0	9.61752426225	0.996204031917
TC-2	3761.53179191	0.949975012494	2315.0	9.03118275778	0.993519187433
TC-1	4227.35	0.942778610695	2590.0	9.36836988357	0.995233143049
