	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6560.45736434	0.978560205685	5106.0	10.3137925531	0.997530315879
CK-2	6904.90238365	0.977431795458	5489.0	10.4891494028	0.997630972016
CK-3	5681.07338129	0.982402513927	4590.0	10.1083014081	0.996967160057
TA-1	6071.06824926	0.97907441794	4480.0	9.68948889265	0.99495502683
TA-2	6195.11206897	0.978688758749	4597.0	9.84496975113	0.995892436122
TA-3	6301.78688525	0.97861734038	4633.0	9.86007573645	0.99582668593
TB-1	6515.83628922	0.977731752607	4859.0	9.97477686136	0.996658721658
TB-2	6571.6013986	0.977503213827	4838.0	9.96812246991	0.996555638867
TB-3	6493.19602649	0.977817454649	4897.0	9.95681574979	0.996623716558
TC-3	6001.95096582	0.979488644479	4471.0	9.73509318972	0.996268644545
TC-2	5061.31578947	0.982588201685	3714.0	9.15587070584	0.993681503781
TC-1	5627.28548896	0.980417083274	4146.0	9.48681170459	0.995279889924
