	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5577.53731343	0.958840331334	4029.0	10.2436344115	0.997580282485
CK-2	6195.46444122	0.954870037132	4385.0	10.4271828469	0.997639412773
CK-3	4936.07258065	0.964838617538	3715.0	10.0462506853	0.996874274547
TA-1	5047.73674589	0.962782062268	3497.0	9.64995892204	0.995014472137
TA-2	5132.18035714	0.962325049986	3580.0	9.79372910449	0.995970154526
TA-3	5227.85051546	0.96106826621	3633.0	9.79353982644	0.995771818898
TB-1	5374.47949527	0.959897172237	3821.0	9.91912834623	0.996655870388
TB-2	5669.6731794	0.958497572122	3796.0	9.90496647564	0.996507140695
TB-3	5731.9486755	0.957297914881	3883.0	9.9077515787	0.996595929135
TC-3	5265.05534351	0.961325335618	3517.0	9.70464529442	0.996354243587
TC-2	4453.89018692	0.96735218509	2929.0	9.10073285773	0.993585246505
TC-1	4815.24894515	0.964552984861	3192.0	9.42598383805	0.995223533065
