	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6397.86206897	0.979088701614	5079.0	10.3110249436	0.997548672674
CK-2	7138.93189964	0.976646193401	5543.0	10.503179669	0.997633188117
CK-3	5615.95035461	0.982788173118	4587.0	10.1055520788	0.996948381341
TA-1	5972.21597633	0.979602913869	4465.0	9.69761138457	0.994981813054
TA-2	6068.32398317	0.979317240394	4599.0	9.85258382381	0.995874579184
TA-3	6267.19497784	0.978817311813	4644.0	9.87236206882	0.995914235608
TB-1	6534.98601399	0.977860305671	4856.0	9.97927904965	0.996660289781
TB-2	6760.97503671	0.977003285245	4859.0	9.95735958459	0.996531632666
TB-3	6561.58333333	0.977503213827	4922.0	9.97626714355	0.996669618544
TC-3	5953.63241679	0.979574346522	4475.0	9.74186892487	0.996297078869
TC-2	4966.41330998	0.982931009856	3717.0	9.14475388448	0.993629928314
TC-1	5693.91935484	0.980274246536	4157.0	9.49724526909	0.995326254227
