	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5590.03986711	0.951849383539	3857.0	10.2500385013	0.997604017588
CK-2	5861.32853026	0.948417194269	4136.0	10.3953800286	0.997608587874
CK-3	4747.01631321	0.95928023992	3530.0	10.0395726805	0.997055363418
TA-1	4850.23653846	0.957414195268	3281.0	9.60593069401	0.994880711206
TA-2	4940.55159475	0.956881039653	3371.0	9.75325604984	0.995814934953
TA-3	5051.58504673	0.955914695102	3417.0	9.7773219827	0.995806718209
TB-1	5289.56432247	0.953282239254	3605.0	9.88612235112	0.996559494053
TB-2	5255.1758794	0.953082305898	3596.0	9.86664505487	0.996415585563
TB-3	5391.64924115	0.952215928024	3659.0	9.92003113768	0.996731670361
TC-3	4878.68411215	0.956881039653	3315.0	9.67666056468	0.996333553594
TC-2	4014.80176211	0.964245251583	2748.0	9.08250719285	0.993661257644
TC-1	4463.77118644	0.960813062313	3000.0	9.40764038189	0.995288656974
