	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5512.95616883	0.952215928024	3845.0	10.2539704584	0.997626800175
CK-2	6023.33480176	0.947084305232	4173.0	10.4032232394	0.997623839926
CK-3	4755.63851351	0.959613462179	3516.0	10.0229709197	0.996895991906
TA-1	4838.54425612	0.957347550816	3297.0	9.62939542539	0.995104646335
TA-2	4919.95323741	0.956647784072	3399.0	9.77024521514	0.995942647575
TA-3	5035.79852126	0.955814728424	3412.0	9.78814295674	0.9958754546
TB-1	5220.4	0.954415194935	3580.0	9.88242226625	0.996568785635
TB-2	5357.00181818	0.953382205931	3579.0	9.8820709424	0.996445985294
TB-3	5453.37823834	0.951816061313	3649.0	9.88930736342	0.996607035687
TC-3	5062.38326848	0.955514828391	3330.0	9.67184104629	0.996265776564
TC-2	4031.22516556	0.964011996001	2745.0	9.07126989223	0.993416094446
TC-1	4586.50204082	0.959213595468	3059.0	9.4156663884	0.995218386052
