	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5929.60986547	0.962709322669	4267.0	10.2652594912	0.997576275764
CK-2	6274.20212766	0.960409897526	4607.0	10.4375510055	0.997594988906
CK-3	5281.5106383	0.967808047988	3925.0	10.0657388545	0.99689716786
TA-1	5121.44501718	0.967333166708	3655.0	9.64207106556	0.994830510068
TA-2	5518.96276596	0.965133716571	3795.0	9.79891792906	0.995828047487
TA-3	5493.19063545	0.964683829043	3825.0	9.82305242996	0.995937054227
TB-1	5685.4453125	0.963759060235	4044.0	9.94781312561	0.996696343285
TB-2	5565.01569859	0.964358910272	3970.0	9.91419444064	0.996554256837
TB-3	5778.86818182	0.96255936016	4080.0	9.92531768597	0.996635983469
TC-3	5228.10896309	0.966408397901	3642.0	9.67256538953	0.99620913317
TC-2	4545.50539957	0.970782304424	3071.0	9.12299176851	0.993734468158
TC-1	4785.11012433	0.96880779805	3403.0	9.45472791382	0.995258969562
