	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6636.73596939	0.979962671644	5197.0	10.3197810951	0.997550757353
CK-2	7198.54819977	0.978216237835	5649.0	10.4997985396	0.997623932505
CK-3	5600.2837274	0.984335421944	4641.0	10.0990930765	0.996926870045
TA-1	6089.81007194	0.980629249433	4572.0	9.69600047323	0.994957914246
TA-2	6430.28251121	0.979802692974	4716.0	9.85487188389	0.995926022289
TA-3	6203.29329609	0.980629249433	4730.0	9.86778062427	0.995888087161
TB-1	6520.67901235	0.97972270364	4935.0	9.97544565639	0.996631674813
TB-2	6592.3310992	0.979162778296	4956.0	9.95985197416	0.996505503661
TB-3	6536.03645833	0.979616051193	5015.0	9.98388384914	0.996665179123
TC-3	6073.9132948	0.980695907212	4560.0	9.73482614626	0.996285152114
TC-2	5040.34251291	0.983975469937	3798.0	9.14682088864	0.993622673534
TC-1	5716.05255023	0.981562458339	4239.0	9.4974581466	0.995289430813
