	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5517.93939394	0.951849383539	3854.0	10.232519221	0.997547553015
CK-2	6069.00873362	0.94668443852	4207.0	10.4143701871	0.997674799281
CK-3	4700.23247863	0.960446517827	3497.0	10.0199193237	0.996917786263
TA-1	4999.70114943	0.956014661779	3332.0	9.6363270662	0.995017073616
TA-2	5017.05607477	0.956314561813	3412.0	9.77915036217	0.99590363803
TA-3	4975.65406427	0.957014328557	3404.0	9.80514960918	0.996003658005
TB-1	5410.07653061	0.952315894702	3670.0	9.92295775083	0.996672849581
TB-2	5148.36046512	0.953815394868	3554.0	9.85522543805	0.996454208699
TB-3	5423.43174061	0.951916027991	3648.0	9.90303678845	0.996665125842
TC-3	4988.07633588	0.955714761746	3304.0	9.66857846508	0.996335807646
TC-2	4056.7182448	0.964211929357	2726.0	9.07939184751	0.993653951404
TC-1	4621.84221311	0.959013662113	3073.0	9.44028522388	0.99534345377
