	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	4566.47184466	0.913524317122	2932.0	10.1410905702	0.997591017492
CK-2	4818.03743316	0.908660892738	3144.0	10.2991358742	0.997677213636
CK-3	4201.36876356	0.92218520986	2723.0	9.89631091228	0.996791870044
TA-1	3833.40420561	0.927914723518	2467.0	9.53523556312	0.994864751503
TA-2	4131.88235294	0.924250499667	2549.0	9.67209441528	0.995847831404
TA-3	4205.99045346	0.922318454364	2585.0	9.68822542256	0.995677542975
TB-1	4428.328125	0.916988674217	2697.0	9.76365089136	0.99660056964
TB-2	4142.37086093	0.922784810127	2661.0	9.79239891109	0.996577373912
TB-3	4261.453125	0.920186542305	2661.0	9.74896495564	0.996545452044
TC-3	3933.92592593	0.927048634244	2455.0	9.56073479409	0.996101981313
TC-2	3340.74772036	0.938307794803	2039.0	8.97828523402	0.99346683823
TC-1	3766.24668435	0.93017988008	2311.0	9.3377851881	0.995063579643
