	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5016.43811395	0.932883558221	3246.0	10.1623503575	0.997557223387
CK-2	5549.06122449	0.92363818091	3565.0	10.3298010208	0.997561778831
CK-3	4248.73025048	0.94307846077	3000.0	9.9469847698	0.996781439365
TA-1	4304.63409563	0.940029985007	2809.0	9.56418361723	0.994836994296
TA-2	4592.54366812	0.93808095952	2918.0	9.72771758563	0.995929061956
TA-3	4521.09036145	0.93728135932	2941.0	9.73854756939	0.995860315719
TB-1	4774.62476548	0.933383308346	3109.0	9.84880882769	0.996522218651
TB-2	4579.7661597	0.93608195902	3026.0	9.81312321828	0.996471918963
TB-3	4856.0	0.933233383308	3076.0	9.81965151468	0.996610984862
TC-3	4409.11349036	0.93888055972	2809.0	9.5960355978	0.99618779316
TC-2	3615.45189504	0.952123938031	2279.0	9.01864308385	0.993540296319
TC-1	4324.89030612	0.94207896052	2613.0	9.38304374493	0.995271204977
