	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	4866.81081081	0.933233383308	3260.0	10.1623544771	0.997494955671
CK-2	5524.43367347	0.924287856072	3574.0	10.3368216539	0.997581733871
CK-3	4635.07453416	0.938330834583	3060.0	9.96977951005	0.996896689087
TA-1	4195.27956989	0.94247876062	2772.0	9.55363934822	0.994865555728
TA-2	4325.99416342	0.93968015992	2910.0	9.72453884823	0.99591418184
TA-3	4460.40169133	0.938830584708	2878.0	9.71062908524	0.995746874189
TB-1	4479.56285178	0.93768115942	3022.0	9.8422900605	0.996663152682
TB-2	4816.10147992	0.934832583708	3020.0	9.83873466433	0.996633112729
TB-3	4650.46927374	0.934782608696	3066.0	9.8027000259	0.996563077781
TC-3	4108.5625	0.943028485757	2756.0	9.59080725626	0.996233582359
TC-2	3856.44092219	0.948825587206	2347.0	9.05588124242	0.993585770833
TC-1	4240.03350515	0.943528235882	2596.0	9.37444073521	0.995202064135
