	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6533.16259169	0.980282628983	5197.0	10.3216450978	0.997571826934
CK-2	7240.67370892	0.978176243168	5669.0	10.5085032409	0.997641061092
CK-3	5700.984375	0.983868817491	4662.0	10.1034239355	0.996924618201
TA-1	6233.62461538	0.980375949873	4568.0	9.69612994793	0.994957555941
TA-2	6287.71732955	0.980135981869	4712.0	9.8528666891	0.995898420405
TA-3	6362.92011412	0.979989334755	4757.0	9.86927241783	0.995861728679
TB-1	6476.08730159	0.979682708972	4941.0	9.97973639339	0.996663326817
TB-2	6683.92551724	0.978909478736	4959.0	9.97960959761	0.996552991441
TB-3	6721.09864865	0.97889614718	5029.0	9.97142283084	0.996623486064
TC-3	5991.96661829	0.981135848554	4540.0	9.73813111935	0.996276873078
TC-2	5250.22099448	0.983308892148	3808.0	9.14758177073	0.993660121325
TC-1	5785.4511041	0.981482469004	4265.0	9.50530338341	0.995328391801
