	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6400.80504909	0.972150518088	4756.0	10.3035797873	0.997556535555
CK-2	6638.61820331	0.971005271769	5136.0	10.480012729	0.997657466784
CK-3	5515.00160256	0.977331394292	4270.0	10.0840506182	0.996929426756
TA-1	5504.13043478	0.975422650427	4086.0	9.68162157276	0.994981838836
TA-2	6118.7972973	0.97295037266	4250.0	9.83500827498	0.995965053502
TA-3	5808.54307692	0.974131976004	4252.0	9.84527128362	0.995927283437
TB-1	6080.57754801	0.973004908199	4453.0	9.95437501099	0.996652474252
TB-2	6077.82231405	0.972241410653	4473.0	9.93458749982	0.996495012838
TB-3	6167.6849711	0.972423195783	4506.0	9.9436177001	0.996607540511
TC-3	5456.31578947	0.97544082894	4085.0	9.71535188039	0.996276080887
TC-2	4874.23425197	0.97798582076	3432.0	9.12445019944	0.993592876852
TC-1	5432.16809605	0.975113615706	3826.0	9.47029357826	0.995311711599
