	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5931.8483965	0.962509372657	4293.0	10.2749693948	0.9975451076
CK-2	6311.56449553	0.959610097476	4645.0	10.4443553154	0.997590864718
CK-3	5123.26971609	0.968757810547	3892.0	10.0549072148	0.996894782803
TA-1	5435.67777778	0.965708572857	3694.0	9.65763450464	0.994976850639
TA-2	5470.82867133	0.965308672832	3788.0	9.79823025691	0.995909388062
TA-3	5289.18042813	0.965683579105	3849.0	9.83692180451	0.995904008252
TB-1	5568.28593272	0.964258935266	4006.0	9.91845024405	0.996583344791
TB-2	5705.30595813	0.963284178955	3969.0	9.90828551479	0.996522172881
TB-3	5783.49775785	0.962209447638	4076.0	9.90989741997	0.996574333048
TC-3	5367.42984014	0.96543364159	3670.0	9.6956110415	0.996304033214
TC-2	4377.95294118	0.9712071982	3078.0	9.10007041452	0.993537326741
TC-1	4787.88616462	0.968657835541	3412.0	9.43546353134	0.995192778911
