	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6479.25745257	0.976988155668	4964.0	10.3081267981	0.997563070829
CK-2	6973.64547677	0.975326872789	5402.0	10.4988830608	0.997663239769
CK-3	5784.57534247	0.980203045685	4525.0	10.0902428425	0.996906690086
TA-1	5920.34259259	0.978034148593	4348.0	9.68912171605	0.994942036889
TA-2	6209.89235569	0.977018920166	4470.0	9.84060546847	0.995917150796
TA-3	6051.72086331	0.977664974619	4536.0	9.8503096587	0.995820594945
TB-1	6489.49567723	0.976111367482	4753.0	9.9776665598	0.996671543036
TB-2	6413.24645892	0.976249807722	4726.0	9.94413581407	0.996475531399
TB-3	6315.35974843	0.976249807722	4817.0	9.96913021085	0.996640030839
TC-3	5755.31927711	0.978710967543	4314.0	9.71930796514	0.996239629552
TC-2	4908.28308824	0.981710506076	3610.0	9.1280561405	0.993570110177
TC-1	5498.1572327	0.979064759268	4043.0	9.48301463211	0.995289615141
