	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6148.20619946	0.973332121432	4699.0	10.289864191	0.997532589223
CK-2	6810.18102372	0.970078167606	5120.0	10.4703454097	0.997621275648
CK-3	5357.22205438	0.977931285221	4245.0	10.0737815725	0.996906741452
TA-1	6028.68439108	0.973150336302	4159.0	9.68191523163	0.994975507915
TA-2	5728.21396055	0.974386475186	4223.0	9.83681675195	0.995930767128
TA-3	5849.35258359	0.973750227231	4266.0	9.83716667272	0.995838371639
TB-1	6186.90446841	0.972695873478	4450.0	9.96160529971	0.996700304792
TB-2	6251.51492537	0.971896018906	4469.0	9.9413846681	0.99647750119
TB-3	6420.19815668	0.971405199055	4521.0	9.93989397762	0.996618731813
TC-3	5862.09359606	0.973495728049	4118.0	9.71238514226	0.996246149293
TC-2	4859.41119691	0.977931285221	3438.0	9.12516433463	0.993620264578
TC-1	5412.56185567	0.975459007453	3848.0	9.48679282142	0.995328256326
