	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	3952.57109005	0.885814185814	2406.0	10.03255378	0.997470701127
CK-2	4538.08314088	0.871028971029	2615.0	10.1789969815	0.997584553309
CK-3	3547.65525672	0.897302697303	2257.0	9.82108712451	0.996793655895
TA-1	3246.57103064	0.905894105894	2012.0	9.44074611811	0.995048188575
TA-2	3802.29881657	0.894305694306	2148.0	9.57548334304	0.995545653148
TA-3	3776.99137931	0.893806193806	2155.0	9.61159539407	0.995771481266
TB-1	3798.83333333	0.891608391608	2218.0	9.69119094567	0.996611919549
TB-2	3975.53651685	0.888611388611	2231.0	9.68959262438	0.996458626289
TB-3	3824.33333333	0.888011988012	2251.0	9.68671636815	0.996563476484
TC-3	3314.98382749	0.902897102897	2043.0	9.49044879475	0.996212878031
TC-2	2663.26351351	0.923576423576	1676.0	8.92817024799	0.993543878699
TC-1	3291.1465798	0.906993006993	1881.0	9.2115100239	0.994918388305
