	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6301.68041237	0.975204132645	4876.0	10.3060406245	0.997556732824
CK-2	6857.46007151	0.972854524246	5277.0	10.4842654101	0.997637962967
CK-3	5536.24961715	0.979470088319	4375.0	10.0862677438	0.996917532019
TA-1	5632.17808219	0.977203799367	4209.0	9.68180174102	0.994962142759
TA-2	6097.08474576	0.975237460423	4397.0	9.84874299294	0.995946629014
TA-3	6111.10232558	0.975437427095	4428.0	9.84898457938	0.995843219598
TB-1	6280.65767045	0.974487585402	4617.0	9.96760907717	0.996693210133
TB-2	6349.97226277	0.974270954841	4611.0	9.94643387541	0.996523816047
TB-3	6168.0198939	0.974954174304	4671.0	9.96497080878	0.99663250648
TC-3	5765.85903084	0.97608731878	4255.0	9.7283204341	0.996280627116
TC-2	4829.26678445	0.979970004999	3554.0	9.15319339024	0.993740422811
TC-1	5480.87275693	0.977237127145	3960.0	9.48997199071	0.995325924822
