	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6446.7767624	0.976957391171	4983.0	10.3147248862	0.997596808613
CK-2	6863.03222094	0.975572988771	5413.0	10.4955651193	0.997623126195
CK-3	5586.24597365	0.981125980618	4485.0	10.0929436563	0.996941473702
TA-1	6140.60761589	0.977388094139	4353.0	9.67601801574	0.994928906729
TA-2	6022.21068249	0.977849561606	4485.0	9.84602517374	0.99589282408
TA-3	6232.4641791	0.976895862175	4550.0	9.86209690343	0.995935504911
TB-1	6236.6369863	0.977065066913	4715.0	9.97610735203	0.996669958198
TB-2	6404.0915493	0.976219043224	4722.0	9.94877578162	0.996489488761
TB-3	6558.09537167	0.97572681126	4813.0	9.97096468793	0.99664613547
TC-3	5893.5238806	0.977941855099	4360.0	9.73274199176	0.996313983004
TC-2	5034.75438596	0.981433625596	3616.0	9.14166367526	0.993623334983
TC-1	5749.67171717	0.978295646824	4075.0	9.49472481481	0.995329306123
