	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6622.89950372	0.981577302837	5276.0	10.3235018561	0.997562348201
CK-2	7216.37037037	0.979790026247	5750.0	10.5113376722	0.997641080392
CK-3	5697.02513966	0.985339332583	4737.0	10.1060841268	0.996908075529
TA-1	6228.50874636	0.981664791901	4661.0	9.70055517663	0.994978499516
TA-2	6451.39823009	0.981239845019	4791.0	9.85675885205	0.995923238941
TA-3	6437.54674221	0.981239845019	4843.0	9.87148788743	0.995837022684
TB-1	6772.33471074	0.98031496063	5065.0	9.98251774303	0.996642524421
TB-2	6852.45340751	0.979877515311	5051.0	9.9628601804	0.996530482121
TB-3	6727.07470511	0.980414948131	5119.0	9.97658007671	0.996626926446
TC-3	5977.42758621	0.982439695038	4617.0	9.73561230538	0.99626635347
TC-2	5271.26643599	0.984251968504	3899.0	9.14937534575	0.9935951007
TC-1	5903.34639498	0.982414698163	4353.0	9.50802317152	0.99537218765
