	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5211.00502513	0.944182327069	3580.0	10.2080491339	0.997586014774
CK-2	5798.16640747	0.93762495002	3907.0	10.3688808806	0.997571105105
CK-3	4615.92438563	0.952019192323	3256.0	9.99717918704	0.996903434548
TA-1	4745.62203024	0.950099960016	3065.0	9.60187615917	0.994992560353
TA-2	4642.50092421	0.949820071971	3188.0	9.76783096686	0.995943175709
TA-3	4843.32110092	0.947221111555	3246.0	9.77944251693	0.995761525857
TB-1	4788.43243243	0.948620551779	3302.0	9.87294098622	0.99666759126
TB-2	4820.26315789	0.947221111555	3293.0	9.83597305136	0.99649480152
TB-3	4936.41	0.945741703319	3403.0	9.88120725376	0.996639073279
TC-3	4540.79754601	0.951619352259	3045.0	9.62536355301	0.996182405087
TC-2	3902.16923077	0.958856457417	2546.0	9.08627116576	0.993665628511
TC-1	4321.60674157	0.953818472611	2824.0	9.40687059483	0.995371322882
