	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6798.11942257	0.981114860642	5301.0	10.3276623777	0.99755669399
CK-2	7283.08172531	0.979552555931	5765.0	10.5110407557	0.997650382129
CK-3	5698.71862069	0.985226846644	4736.0	10.1074378483	0.996926141013
TA-1	6224.24743777	0.981677290339	4652.0	9.69959490749	0.994925937657
TA-2	6249.89158345	0.981827271591	4743.0	9.85652197478	0.995906920209
TA-3	6413.4822695	0.981377327834	4840.0	9.87364859693	0.995866835543
TB-1	6613.10196078	0.980714910636	5058.0	9.9825122895	0.996645572097
TB-2	6688.29189189	0.980389951256	5026.0	9.95564231812	0.996480334971
TB-3	6765.46684005	0.980177477815	5131.0	9.9802116488	0.996636304726
TC-3	6159.90243902	0.981927259093	4661.0	9.74598873751	0.99627065177
TC-2	5332.64533821	0.984226971629	3878.0	9.15468523253	0.993636460984
TC-1	5912.38871473	0.982352205974	4351.0	9.50243696983	0.995328259258
