	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5281.04429302	0.943742502999	3596.0	10.2145889973	0.997575223409
CK-2	5789.05381166	0.937225109956	3948.0	10.4159061425	0.997705682221
CK-3	4570.63422819	0.951219512195	3323.0	9.99749899556	0.9968751244
TA-1	4579.96138996	0.950219912035	3085.0	9.61603149714	0.994932573152
TA-2	4959.84061135	0.948740503798	3167.0	9.7487040692	0.995864013451
TA-3	4767.87689394	0.948580567773	3203.0	9.77710587019	0.995980544208
TB-1	4984.93559928	0.946021591363	3356.0	9.88328192916	0.996660668799
TB-2	5206.90091743	0.943742502999	3392.0	9.88014333249	0.99658746977
TB-3	5257.44401544	0.944142343063	3375.0	9.86924178337	0.996663460166
TC-3	4614.47657841	0.95049980008	3055.0	9.64147378862	0.996266686448
TC-2	3857.73979592	0.959216313475	2532.0	9.07074392307	0.993668410285
TC-1	4425.18837209	0.952738904438	2802.0	9.39955633505	0.99533437005
