	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5240.15964912	0.944742103159	3566.0	10.2093831864	0.997550756587
CK-2	5495.43730887	0.941143542583	3840.0	10.3768268176	0.997612045146
CK-3	4795.57965451	0.950299880048	3314.0	9.99583095872	0.996835536877
TA-1	4512.75984252	0.951219512195	3049.0	9.59009328704	0.994916736224
TA-2	4749.00588235	0.948900439824	3149.0	9.74525020841	0.99598509097
TA-3	4681.12730627	0.94906037585	3185.0	9.75292187374	0.995787386765
TB-1	4922.10204082	0.947221111555	3307.0	9.8530151132	0.996540691201
TB-2	5048.8657845	0.945981607357	3325.0	9.8516627971	0.996426203609
TB-3	5004.88888889	0.945461815274	3339.0	9.839122619	0.996626568085
TC-3	4685.17567568	0.948740503798	3100.0	9.63977563555	0.996279437845
TC-2	4002.10723861	0.95793682527	2520.0	9.03630491647	0.99357184755
TC-1	4409.4628821	0.952299080368	2857.0	9.40866147023	0.995305570695
