	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6405.60225847	0.976926626673	4995.0	10.3163695576	0.997585378757
CK-2	6986.02408257	0.974742347331	5441.0	10.4943669696	0.997634930373
CK-3	5683.67567568	0.98041839717	4532.0	10.09466851	0.996909451366
TA-1	5866.50464396	0.978326411321	4331.0	9.68181485545	0.995006636183
TA-2	6065.97260274	0.977695739117	4467.0	9.84876879688	0.99594057838
TA-3	5972.16877637	0.977880326104	4519.0	9.85707145889	0.995893827322
TB-1	6400.77118644	0.976311336717	4727.0	9.95856504782	0.996626217812
TB-2	6461.0256776	0.976049838486	4733.0	9.9560408093	0.996558578034
TB-3	6409.99061662	0.976203660975	4807.0	9.97075793075	0.996669460836
TC-3	5960.41616766	0.977541916628	4366.0	9.72381146655	0.996275921343
TC-2	4923.75488455	0.981433625596	3631.0	9.15271074782	0.993726467271
TC-1	5512.08585056	0.979295493001	4073.0	9.50383681074	0.995351690241
