	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6400.28978008	0.977126595908	4971.0	10.3128867408	0.997571379278
CK-2	7122.2810219	0.974373173358	5435.0	10.4945135295	0.997625074471
CK-3	5536.06696429	0.981433625596	4453.0	10.0864735636	0.996932701963
TA-1	5963.33487654	0.977818797108	4360.0	9.68867750205	0.995002570215
TA-2	6058.51047904	0.977618827873	4475.0	9.8428625512	0.995883505764
TA-3	6111.63663664	0.977588063375	4519.0	9.86187289464	0.995882734877
TB-1	6332.52066116	0.9765574527	4734.0	9.97322779457	0.996679978783
TB-2	6505.49851632	0.975988309491	4699.0	9.94355207158	0.996490660945
TB-3	6408.00382166	0.975880633749	4843.0	9.97699328812	0.996672380648
TC-3	5740.1915493	0.978403322566	4353.0	9.73215324982	0.99626715481
TC-2	5003.40883978	0.981172127365	3625.0	9.13909502571	0.993615351641
TC-1	5537.78301887	0.97889555453	4059.0	9.48514594202	0.995300291146
