	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6837.22093023	0.980877390326	5326.0	10.330780854	0.997579700113
CK-2	7193.34867664	0.980102487189	5736.0	10.5111050134	0.997630992914
CK-3	5721.46025105	0.985226846644	4748.0	10.107558689	0.996927656571
TA-1	6281.44428152	0.981527309086	4681.0	9.70538821809	0.994980391543
TA-2	6617.96943231	0.980414948131	4832.0	9.86862547049	0.995964719821
TA-3	6345.92243767	0.981489813773	4828.0	9.87031343821	0.995850096916
TB-1	6648.13530928	0.980414948131	5067.0	9.98219368445	0.99665824799
TB-2	6796.31593794	0.980202474691	5028.0	9.9661428332	0.996520481809
TB-3	6806.97222222	0.980127484064	5136.0	9.98026816445	0.996634827283
TC-3	6049.19400856	0.98226471691	4614.0	9.73640346026	0.996285622402
TC-2	5185.06228956	0.984526934133	3896.0	9.15674403641	0.993652456985
TC-1	5772.93057607	0.982627171604	4347.0	9.50611051795	0.995331044499
