	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6575.70971867	0.980402612985	5195.0	10.326671917	0.997573574734
CK-2	7117.22536806	0.978562858286	5654.0	10.5070501828	0.997625858747
CK-3	5722.60114778	0.9837754966	4661.0	10.0995224356	0.996942135307
TA-1	6024.92173913	0.980909212105	4540.0	9.69873385386	0.994986573981
TA-2	6243.54676259	0.980402612985	4690.0	9.86058243824	0.995956737297
TA-3	6356.97054492	0.980189308092	4732.0	9.86511598877	0.99581839979
TB-1	6681.29483696	0.97889614718	4980.0	9.97844367191	0.996616149709
TB-2	6557.36947791	0.979282762298	4942.0	9.95650901855	0.996497917418
TB-3	6636.18361955	0.979042794294	5005.0	9.96707536353	0.996639724222
TC-3	5845.05405405	0.981762431676	4515.0	9.73534910209	0.996266864369
TC-2	5011.153457	0.984002133049	3798.0	9.15128337294	0.993632114927
TC-1	5740.02715655	0.981735768564	4242.0	9.50213005578	0.995308847146
