	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	4115.11568123	0.884315684316	2393.0	9.97515809416	0.997284074567
CK-2	4432.09513742	0.87012987013	2647.0	10.204134033	0.997587587238
CK-3	3706.67010309	0.894505494505	2271.0	9.82597592463	0.996733955355
TA-1	3293.1212938	0.903696303696	2042.0	9.4403322268	0.994898707686
TA-2	3635.63081395	0.897802197802	2116.0	9.56271297518	0.995741700857
TA-3	3690.79494382	0.894705294705	2132.0	9.56914212104	0.995564415604
TB-1	3804.88888889	0.888911088911	2245.0	9.6996910665	0.99656892558
TB-2	3918.55675676	0.888411588412	2234.0	9.68099983523	0.996390003603
TB-3	4160.65675676	0.882317682318	2287.0	9.68750502503	0.99648916518
TC-3	3506.91930836	0.8996003996	2053.0	9.47496197771	0.996086710492
TC-2	2918.03690037	0.919180819181	1712.0	8.97336692846	0.993791503202
TC-1	3089.6	0.911588411588	1886.0	9.28746852152	0.995372060507
