	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6131.04897959	0.973423013997	4678.0	10.2982108646	0.997605163821
CK-2	6779.1898263	0.970369023814	5132.0	10.476331183	0.997616924172
CK-3	5456.16543575	0.977167787675	4292.0	10.085071544	0.996962723077
TA-1	5584.75862069	0.974986366115	4102.0	9.6843548033	0.995073303755
TA-2	5894.978125	0.973604799127	4249.0	9.84614221074	0.995984475861
TA-3	5719.02248876	0.974586438829	4255.0	9.85021434369	0.99581778805
TB-1	6107.11661808	0.972804944556	4477.0	9.95209495534	0.99665427525
TB-2	5962.94883041	0.973350299945	4393.0	9.92203400173	0.996460592959
TB-3	6350.89787234	0.97131430649	4586.0	9.95579725436	0.996612229714
TC-3	5806.16745656	0.973732048718	4158.0	9.72445434436	0.996270273412
TC-2	4947.24291498	0.977822214143	3442.0	9.12923703159	0.993569605315
TC-1	5133.58908507	0.97653153972	3797.0	9.47229402271	0.995267993283
