	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	3929.6443418	0.885914085914	2425.0	10.03337235	0.997545730992
CK-2	4664.79334917	0.868931068931	2622.0	10.182845077	0.997629263843
CK-3	3696.79	0.893706293706	2283.0	9.82343372171	0.996694953398
TA-1	3543.74285714	0.898001998002	2056.0	9.41194518977	0.994631023322
TA-2	3707.55555556	0.898401598402	2113.0	9.5984208737	0.996026730512
TA-3	3683.21169916	0.895304695305	2155.0	9.61321402404	0.995801820557
TB-1	3608.23214286	0.895804195804	2222.0	9.75715053127	0.996942817422
TB-2	3868.456	0.889410589411	2236.0	9.69146748384	0.99627257857
TB-3	4011.65633803	0.887812187812	2237.0	9.668987325	0.996544075305
TC-3	3190.66201117	0.907092907093	1984.0	9.4398316187	0.996143616623
TC-2	3019.32046332	0.917082917083	1691.0	8.93505220017	0.993630585199
TC-1	3094.21428571	0.913886113886	1832.0	9.22788774285	0.995068048834
