	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	5861.38240271	0.957869180234	4022.0	10.2357635136	0.997524820305
CK-2	6321.10204082	0.953613253356	4400.0	10.4160853894	0.997606476495
CK-3	5130.51602024	0.96323907455	3735.0	10.0384492575	0.996873231878
TA-1	4983.25978648	0.963067694944	3497.0	9.641217463	0.994964734032
TA-2	5122.45974955	0.962610682662	3591.0	9.79220859939	0.995953205845
TA-3	5160.80279232	0.96215367038	3630.0	9.80749841819	0.995868361274
TB-1	5571.62229617	0.958469008855	3814.0	9.89477541972	0.996605812466
TB-2	5501.52854812	0.958840331334	3809.0	9.89283504584	0.996554237044
TB-3	5574.61138211	0.958469008855	3857.0	9.90059113301	0.996540914046
TC-3	4986.85585586	0.962582119394	3442.0	9.65653053804	0.996213705131
TC-2	4373.63087248	0.967323621822	2911.0	9.08640062383	0.993541922694
TC-1	4891.69428008	0.963267637818	3262.0	9.4268627861	0.995163944263
