	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	4888.10185185	0.933483258371	3249.0	10.1634201476	0.997532837779
CK-2	5039.56896552	0.930134932534	3509.0	10.338311718	0.997609640957
CK-3	4366.06779661	0.940579710145	3036.0	9.95384888733	0.996802653146
TA-1	4477.52232143	0.938980509745	2815.0	9.55635262463	0.9948684828
TA-2	4417.8815261	0.938730634683	2910.0	9.72534879582	0.995847293744
TA-3	4495.23255814	0.938930534733	2918.0	9.72761898395	0.995767293764
TB-1	4739.56896552	0.934332833583	3087.0	9.84570274007	0.996593936915
TB-2	4625.46904315	0.934882558721	3034.0	9.81662847622	0.996558192668
TB-3	4669.0505618	0.934932533733	3083.0	9.83756740633	0.996649666171
TC-3	4298.05117271	0.940379810095	2782.0	9.5947576056	0.996234806135
TC-2	3784.50857143	0.949375312344	2320.0	9.02376397415	0.993521250369
TC-1	4129.89411765	0.943228385807	2613.0	9.39598980555	0.995290980197
