	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6376.00767263	0.977295800646	4984.0	10.3147941357	0.997553802675
CK-2	6956.07242991	0.974942316567	5407.0	10.4888598192	0.997665248618
CK-3	5473.85195155	0.981525919089	4504.0	10.101397585	0.996938419494
TA-1	5901.51769912	0.977803414859	4367.0	9.68934339737	0.994991506164
TA-2	6110.53043478	0.977095831411	4505.0	9.84075118997	0.99590078944
TA-3	6052.34421365	0.977726503615	4498.0	9.84873275436	0.995797992197
TB-1	6347.28571429	0.976680510691	4723.0	9.96431875433	0.996621973437
TB-2	6188.02796272	0.976988155668	4699.0	9.95107552836	0.99652070661
TB-3	6524.26729986	0.97572681126	4836.0	9.97046046687	0.996652410935
TC-3	5835.73763118	0.978249500077	4338.0	9.7322330435	0.996318852984
TC-2	5015.12873134	0.981187509614	3621.0	9.14804788373	0.993728943195
TC-1	5475.9193038	0.979218581757	4033.0	9.48375239651	0.995295678601
