	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6619.13043478	0.983119632984	5341.0	10.3278018166	0.997567358856
CK-2	7317.78296383	0.981190448183	5827.0	10.5071055257	0.997624496414
CK-3	5754.3627451	0.986319256558	4808.0	10.1115140064	0.996933020647
TA-1	6350.51546392	0.98261381014	4743.0	9.70240614467	0.994975319925
TA-2	6553.47619048	0.982143277261	4892.0	9.87072037622	0.995980115738
TB-1	6715.0	0.981660981061	5156.0	9.98486384172	0.996647882759
TB-2	7131.56355932	0.980449358899	5182.0	9.97351274009	0.996522813227
TB-3	6916.75989783	0.980955181743	5244.0	9.97827150157	0.996617991108
TC-3	6213.98273381	0.983025526409	4717.0	9.74046602961	0.996280681967
TC-2	5307.54049296	0.985472297377	3966.0	9.15989744645	0.993633398181
TC-1	5885.44108761	0.983625455829	4423.0	9.50645947193	0.995315716228
