	chao1	goods_coverage	observed_species	shannon	simpson
CK-1	6245.6937931	0.969346130774	4626.0	10.2996344297	0.997562662233
CK-2	6605.03473945	0.967606478704	4978.0	10.4591285178	0.997631343557
CK-3	5308.31958763	0.975084983003	4166.0	10.080537384	0.996944827791
TA-1	5605.09121061	0.972065586883	3988.0	9.66481339407	0.994939924233
TA-2	5640.61455108	0.971705658868	4092.0	9.82350591813	0.995864597526
TA-3	5778.24363057	0.971385722855	4149.0	9.83293721369	0.995818294449
TB-1	6141.8490566	0.969046190762	4404.0	9.95487661412	0.996665754632
TB-2	6163.23538462	0.969146170766	4333.0	9.94070284687	0.99654332041
TB-3	5911.77166437	0.97024595081	4390.0	9.9406428826	0.996614230443
TC-3	5766.45901639	0.970885822835	4030.0	9.72056300202	0.996258316823
TC-2	4911.57287449	0.975464907019	3389.0	9.14887436572	0.993642987859
TC-1	5260.28983051	0.973225354929	3742.0	9.48547227821	0.995343126136
