OTU	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1	Taxonomy
Otu000034	200	223	197	317	475	300	359	415	333	430	460	345	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
Otu000035	34	88	19	529	315	497	142	207	138	917	539	604	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Cellvibrio
Otu000036	406	270	338	227	266	260	407	412	351	393	367	330	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu000037	154	114	152	195	165	165	494	465	593	528	592	362	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter
Otu000038	266	310	140	307	268	329	401	372	389	331	352	467	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
Otu000039	463	423	357	229	317	214	332	445	327	264	206	271	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu000040	342	350	453	233	329	193	273	395	315	344	365	187	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000041	275	325	546	187	169	211	210	403	266	537	364	218	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
Otu000042	363	398	46	222	338	216	321	966	265	102	46	411	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__;s__
Otu000043	562	374	473	209	269	263	299	333	269	234	190	184	Root;k__Bacteria;p__JL-ETNP-Z39;c__;o__;f__;g__;s__
Otu000044	145	282	197	667	575	413	183	262	299	193	204	208	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000045	228	219	217	301	328	244	303	416	400	297	341	287	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium
Otu000046	120	370	89	603	534	478	195	83	94	79	28	865	Root;k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
Otu000047	503	490	28	348	629	217	193	412	101	14	153	314	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium_fuliginis
Otu000048	403	324	379	205	228	195	335	316	367	242	217	186	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu000049	573	375	457	203	228	252	282	229	292	177	135	122	Root;k__Bacteria;p__Acidobacteria;c__Holophagae;o__Elev-16S-816;f__;g__;s__
Otu000050	333	234	236	129	141	204	416	282	492	313	246	239	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__
Otu000051	10	16	2	352	237	304	24	34	56	672	475	1072	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter
Otu000052	290	282	388	242	362	174	213	323	222	271	251	187	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000053	101	389	43	217	285	352	327	431	355	405	84	199	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu000054	108	98	77	323	391	216	150	216	184	385	492	452	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
Otu000055	75	51	89	163	311	198	337	384	324	293	510	312	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;s__
Otu000056	16	61	24	549	301	310	160	142	173	459	429	421	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter
Otu000057	24	12	4	171	1965	205	28	95	70	23	93	333	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia
Otu000058	346	243	223	149	204	160	290	338	434	249	162	206	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Otu000059	90	66	98	117	110	77	342	511	409	371	462	350	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__
Otu000060	216	251	199	189	259	188	189	260	232	347	405	233	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadales_Incertae_Sedis;g__Steroidobacter;s__
Otu000061	23	116	10	799	451	406	88	79	148	139	401	285	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharothrix;s__Saccharothrix_xinjiangensis
Otu000062	95	146	29	969	553	586	44	50	61	95	120	176	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__Variovorax_paradoxus
Otu000063	294	348	184	188	266	197	263	254	173	296	265	154	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu000064	393	650	92	274	360	189	136	390	115	59	26	182	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__
Otu000065	399	270	435	147	235	160	284	240	253	154	171	102	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu000066	165	220	107	144	152	114	246	517	207	364	279	305	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
Otu000067	144	501	74	217	221	311	259	284	295	240	35	110	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu000068	111	42	0	345	733	57	50	160	37	130	296	723	Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium
Otu000069	190	363	32	190	160	144	204	565	139	200	182	141	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter
Otu000070	67	29	52	313	270	283	151	186	216	456	280	189	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
Otu000071	53	14	29	451	539	350	100	151	107	171	276	243	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__
Otu000072	164	156	183	147	336	165	162	275	222	163	218	243	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter
Otu000073	222	201	161	139	116	148	270	234	362	285	115	173	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__;g__;s__
Otu000074	150	140	97	232	390	199	211	241	178	182	191	214	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Terrimonas;s__
Otu000075	25	92	34	126	245	159	120	193	80	330	472	525	Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola
Otu000076	10	9	8	316	449	550	80	52	33	167	392	329	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhizobacter;s__
Otu000077	156	125	93	117	120	159	365	195	551	170	193	140	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__
Otu000078	23	203	65	441	361	181	62	72	77	116	352	384	Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium
Otu000079	127	86	144	91	107	95	211	358	260	378	250	212	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Altererythrobacter;s__
Otu000080	348	298	331	122	173	141	194	190	203	127	107	72	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu000081	0	0	1	92	224	133	0	1	3	309	1293	241	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
Otu000082	312	250	204	174	176	167	125	177	153	236	127	194	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
Otu000083	94	51	108	111	130	120	260	274	265	350	301	214	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
Otu000084	243	246	235	189	232	205	158	157	193	142	127	110	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadales_Incertae_Sedis;g__Acidibacter;s__
Otu000085	277	242	269	144	161	158	215	191	186	126	126	73	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Otu000086	107	91	12	246	209	314	184	69	71	157	212	472	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
