OTU	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1	Taxonomy
Otu001910	5	2	9	5	6	3	10	13	7	2	9	4	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadales_Incertae_Sedis;g__;s__
Otu001911	11	10	16	6	4	3	3	4	6	5	3	4	Root;k__Bacteria;p__Chloroflexi;c__KD4-96;o__;f__;g__;s__
Otu001912	8	10	7	7	5	5	1	5	3	6	10	8	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__;s__
Otu001913	9	10	11	9	8	13	0	5	0	3	4	3	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__
Otu001914	1	10	7	5	4	11	8	6	10	7	4	2	Root;k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__;f__;g__;s__
Otu001915	1	0	1	5	4	5	5	0	1	7	39	7	Root;k__Bacteria;p__Gracilibacteria;c__mixed_culture_isolate_koll6;o__mixed_culture_isolate_koll6;f__mixed_culture_isolate_koll6;g__mixed_culture_isolate_koll6;s__mixed_culture_isolate_koll6
Otu001916	12	9	13	13	11	7	6	0	3	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Phaselicystidaceae;g__Phaselicystis;s__
Otu001917	1	1	1	1	1	5	11	5	9	10	14	16	Root;k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__;f__;g__;s__
Otu001918	20	20	4	8	5	7	4	1	3	0	2	1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Solimonadaceae;g__Polycyclovorans;s__
Otu001919	3	15	14	3	5	7	2	4	6	3	9	4	Root;k__Bacteria;p__Armatimonadetes
Otu001920	19	6	9	2	9	3	2	7	6	4	3	5	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001921	11	8	7	5	2	5	13	4	7	7	3	3	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001922	15	16	3	5	3	8	5	11	5	0	0	4	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales
Otu001923	2	13	7	3	3	6	13	13	9	2	0	4	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu001924	2	0	2	3	3	1	11	15	6	16	6	10	Root;k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__;g__;s__
Otu001925	21	9	13	5	1	6	2	3	5	4	2	3	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__OM27_clade;s__
Otu001926	3	15	0	6	9	10	9	8	6	6	0	2	Root;k__Bacteria;p__Planctomycetes;c__OM190;o__;f__;g__;s__
Otu001927	4	5	8	8	6	4	6	6	11	4	2	10	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
Otu001928	18	8	16	4	3	3	5	4	4	4	3	2	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium
Otu001929	10	6	11	5	9	2	11	5	8	2	5	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
Otu001930	12	9	2	5	8	3	7	21	2	1	2	2	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__;s__
Otu001931	8	8	10	3	5	6	8	7	10	1	4	4	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__;s__
Otu001932	1	19	0	8	13	8	7	8	2	3	0	5	Root;k__Bacteria;p__Planctomycetes;c__OM190;o__;f__;g__;s__
Otu001933	14	7	16	2	2	9	10	5	5	3	1	0	Root;k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__;g__;s__
Otu001934	17	14	10	6	5	1	2	8	6	0	4	1	Root;k__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__
Otu001935	6	9	6	5	8	5	8	4	13	4	4	2	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__;s__
Otu001936	11	6	11	2	8	6	6	4	7	7	1	4	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__;s__
Otu001937	3	10	6	4	4	6	6	10	9	7	4	4	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__TRA3-20;f__;g__;s__
Otu001938	6	4	13	4	1	6	7	10	7	3	8	4	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group
Otu001939	3	6	3	3	3	3	11	10	3	9	8	11	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu001940	2	6	11	8	8	2	12	11	5	3	2	3	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu001941	4	8	12	3	3	0	5	14	10	5	4	5	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
Otu001942	11	9	12	2	3	5	5	4	7	6	2	7	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__JG34-KF-361;g__;s__
Otu001943	4	10	20	3	4	3	7	8	5	5	4	0	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001944	2	32	0	2	6	2	7	10	4	5	0	3	Root;k__Bacteria;p__Parcubacteria
Otu001945	13	13	12	9	13	4	4	3	2	0	0	0	Root;k__Bacteria
Otu001946	8	5	4	1	3	3	10	12	5	5	12	5	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
Otu001947	5	6	8	7	8	9	10	10	3	3	1	3	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__MNC12;g__;s__
Otu001948	9	12	11	6	11	1	6	6	5	2	2	2	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
Otu001949	4	8	4	5	3	5	10	19	8	3	1	3	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillales_Incertae_Sedis;g__Reyranella;s__
Otu001950	1	5	3	4	9	3	6	13	7	3	5	13	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter
Otu001951	6	1	1	2	7	7	5	7	14	9	10	3	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
Otu001952	14	10	14	1	11	3	3	3	3	3	4	3	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001953	6	13	3	6	6	3	0	13	2	4	0	16	Root;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter;s__
Otu001954	6	5	7	11	5	4	3	6	15	1	4	5	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Otu001955	3	11	2	3	3	3	11	11	7	12	2	4	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__AKYG587;s__
Otu001956	13	21	0	2	16	0	3	11	0	3	0	3	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
Otu001957	9	7	12	8	8	8	8	2	4	1	3	2	Root;k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Lineage_IIb;f__;g__;s__
Otu001958	2	4	1	4	1	12	1	0	4	43	0	0	Root;k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__possible_genus_04;s__
Otu001959	16	8	5	4	6	5	2	7	4	5	7	3	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001960	4	5	26	0	1	0	27	1	6	0	1	1	Root;k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
Otu001961	1	4	0	3	14	2	2	9	1	9	4	23	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__;s__
Otu001962	2	18	0	9	8	2	5	8	8	6	2	4	Root;k__Bacteria;p__Planctomycetes;c__BD7-11;o__;f__;g__;s__
Otu001963	12	11	13	2	6	4	7	5	5	4	1	2	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
Otu001964	5	22	1	9	12	3	2	6	5	0	0	7	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__;s__
Otu001965	5	7	7	1	6	2	10	7	10	6	5	6	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
Otu001966	12	6	12	8	7	3	8	5	4	0	3	3	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
Otu001967	0	0	0	2	6	4	7	5	8	11	16	12	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium
Otu001968	2	3	2	3	5	3	9	9	9	11	5	10	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
Otu001969	11	9	12	2	2	2	9	10	6	1	4	3	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Otu001970	4	2	3	4	2	3	8	9	9	7	9	11	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Otu001971	7	10	4	4	4	6	5	5	11	5	7	3	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Aliihoeflea
Otu001972	4	5	4	5	26	5	5	3	8	2	2	2	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
Otu001973	10	9	4	6	8	8	7	4	1	5	6	3	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001974	10	9	7	2	4	6	4	4	7	8	6	4	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium
Otu001975	10	3	14	2	2	3	4	3	20	1	9	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter
Otu001976	4	2	3	22	8	9	5	1	4	0	4	9	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae
Otu001977	5	5	7	8	6	6	6	5	6	6	6	5	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__OM27_clade;s__
Otu001978	7	7	3	7	8	4	6	16	11	1	0	1	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
Otu001979	5	6	14	3	10	3	3	7	2	10	6	2	Root;k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;s__
Otu001980	17	6	14	6	4	6	2	4	4	1	5	2	Root;k__Bacteria
Otu001981	6	6	12	4	4	2	14	3	6	5	6	3	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Solitalea;s__Solitalea_canadensis
Otu001982	20	13	9	6	3	5	1	1	5	2	5	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
Otu001983	0	14	1	1	3	6	4	3	12	22	2	3	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Pir4_lineage
Otu001984	0	1	2	4	10	4	2	6	4	17	11	10	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12_marine_group;g__;s__
Otu001985	1	14	0	6	4	4	4	29	6	2	0	1	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Gemmata;s__
Otu001986	3	9	0	0	5	1	5	11	7	9	11	10	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001987	11	11	6	8	5	7	4	2	6	3	4	4	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Cellvibrio
Otu001988	7	6	9	3	2	3	8	7	18	3	2	2	Root;k__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__;f__;g__;s__
Otu001989	2	2	2	1	3	0	3	17	6	10	12	12	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
Otu001990	4	8	5	4	2	3	4	17	10	4	2	7	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001991	8	9	15	7	8	4	0	3	3	2	4	7	Root;k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter
Otu001992	18	11	13	1	1	1	7	5	7	3	2	1	Root;k__Bacteria;p__Actinobacteria
Otu001993	4	9	0	7	8	11	9	7	4	3	2	6	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
Otu001994	3	17	3	3	3	6	7	7	7	10	1	3	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae
Otu001995	10	9	7	5	4	8	7	2	5	7	4	2	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001996	7	10	18	0	4	4	3	7	0	6	7	4	Root;k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__
Otu001997	24	8	8	5	10	4	2	2	4	1	1	1	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu001998	7	4	13	3	3	6	8	12	6	3	3	2	Root;k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__;g__;s__
Otu001999	12	7	37	1	2	2	2	3	1	1	1	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__BIrii41;g__;s__
Otu002000	9	10	7	3	6	5	4	6	4	9	3	3	Root;k__Bacteria
Otu002001	8	5	7	5	9	4	6	2	15	2	3	3	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu002002	0	1	0	5	5	3	7	9	13	9	3	14	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter
Otu002003	6	11	4	5	3	2	12	4	9	6	3	4	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
Otu002004	5	13	1	4	9	4	4	5	5	9	4	6	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
Otu002005	0	0	2	6	0	18	7	2	5	11	11	7	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
Otu002006	14	9	12	2	5	7	6	1	2	8	2	1	Root;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__;s__
Otu002007	6	5	3	4	6	1	9	12	6	1	6	10	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu002008	7	15	1	1	1	1	6	11	10	3	4	9	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
Otu002009	4	9	5	5	5	3	9	10	11	2	4	2	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__
Otu002010	10	11	21	3	6	2	1	2	2	7	2	2	Root;k__Bacteria
Otu002011	11	16	0	6	8	5	4	9	3	3	0	4	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Dongia;s__
Otu002012	6	19	3	8	8	4	3	4	3	4	3	4	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu002013	9	8	8	4	9	5	4	5	7	3	4	3	Root;k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__
Otu002014	14	4	11	1	5	5	9	5	6	2	2	4	Root;k__Bacteria
Otu002015	1	19	3	4	12	3	2	5	2	13	2	2	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula;s__
Otu002016	4	7	0	2	7	5	4	17	7	0	0	15	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__;s__
Otu002017	7	12	10	7	6	5	3	10	2	3	2	1	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__TRA3-20;f__;g__;s__
Otu002018	3	8	0	7	7	13	5	9	7	3	1	5	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu002019	11	17	20	9	1	6	3	1	0	0	0	0	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
Otu002020	5	11	6	1	4	9	6	8	11	3	3	1	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
Otu002021	2	4	13	10	24	5	2	0	4	1	2	1	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__;s__
Otu002022	5	1	0	9	4	4	6	10	4	8	9	8	Root;k__Bacteria;p__Saccharibacteria
Otu002023	1	0	0	2	1	4	14	11	7	6	8	14	Root;k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__OPB56;g__;s__
Otu002024	0	5	0	25	16	9	1	4	0	1	4	3	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Ohtaekwangia;s__
Otu002025	14	12	7	9	5	8	2	0	3	7	1	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
Otu002026	10	11	8	3	10	7	4	2	7	3	1	2	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
Otu002027	7	9	7	5	6	4	9	8	4	5	3	1	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu002028	6	9	7	7	4	2	7	17	4	2	0	3	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
Otu002029	0	5	0	0	7	6	2	2	6	22	2	16	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu002030	1	7	1	3	10	8	12	12	7	3	0	4	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu002031	6	8	7	3	12	5	8	2	10	2	0	4	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfurellales;f__Desulfurellaceae;g__;s__
Otu002032	5	9	1	4	7	7	3	6	14	5	4	2	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
Otu002033	16	7	9	1	5	3	6	3	5	4	8	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillales_Incertae_Sedis;g__Candidatus_Alysiosphaera;s__
Otu002034	13	8	11	4	10	4	4	4	5	2	1	1	Root;k__Bacteria
Otu002035	9	11	8	5	6	2	2	4	4	7	8	1	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__S0134_terrestrial_group;f__;g__;s__
Otu002036	9	15	1	8	4	7	4	10	1	2	2	4	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium
Otu002037	2	4	2	3	9	9	8	3	5	6	5	11	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group
Otu002038	9	7	8	3	6	4	6	9	8	1	5	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30;f__delta_proteobacterium_WX152;g__delta_proteobacterium_WX152;s__delta_proteobacterium_WX152
Otu002039	3	16	0	8	9	7	3	8	2	5	1	5	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__AKYG587;s__
Otu002040	9	12	7	7	12	9	1	3	3	1	1	2	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
Otu002041	6	7	3	3	11	1	5	13	9	3	2	4	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter
Otu002042	10	13	0	2	7	3	7	10	8	1	0	6	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium
Otu002043	6	7	12	5	4	2	9	6	10	2	3	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__Candidatus_Entotheonella;s__
Otu002044	10	12	17	3	5	3	4	0	4	4	3	1	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
Otu002045	1	8	0	5	5	6	1	11	11	11	4	3	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces
Otu002046	8	19	20	2	6	3	1	1	2	1	0	3	Root;k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Obscuribacterales;f__;g__;s__
Otu002047	13	13	10	3	7	3	2	3	2	4	5	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
Otu002048	1	3	1	3	4	5	7	9	9	10	11	3	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__;s__
Otu002049	9	10	6	7	7	4	4	7	5	2	2	3	Root;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21
Otu002050	1	0	4	0	0	0	1	8	30	7	11	4	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__BIrii41;g__;s__
Otu002051	5	5	6	2	0	0	9	8	15	4	5	7	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
Otu002052	7	6	10	7	5	5	9	4	7	1	4	1	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu002053	12	23	1	3	4	5	0	8	4	4	0	2	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Gemmata;s__
Otu002054	9	13	5	7	2	3	6	7	5	2	3	4	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium
Otu002055	15	9	11	3	6	3	4	6	3	2	1	3	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__KCM-B-15;g__;s__
Otu002056	3	51	1	1	3	1	0	2	0	0	2	2	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium
Otu002057	4	13	0	4	14	6	4	8	4	1	1	7	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Otu002058	7	6	12	4	10	4	4	3	6	4	4	2	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu002059	8	13	9	0	1	1	9	8	8	2	4	3	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae
Otu002060	3	8	5	3	2	2	12	14	9	4	1	3	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
Otu002061	10	6	6	4	1	3	3	9	7	4	5	8	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Woodsholea;s__
Otu002062	8	8	8	3	5	5	11	2	4	3	7	2	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
Otu002063	5	10	2	5	9	8	3	8	1	10	2	2	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula
Otu002064	7	7	0	4	4	3	9	18	8	1	0	4	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
Otu002065	10	7	8	1	6	2	6	4	8	8	3	2	Root;k__Bacteria
Otu002066	17	5	5	2	5	5	6	7	6	3	2	2	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu002067	8	11	29	0	2	3	4	2	0	5	0	1	Root;k__Bacteria
Otu002068	13	4	15	2	3	5	4	2	7	3	5	2	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__;s__
Otu002069	0	9	1	7	6	2	10	14	5	6	1	4	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu002070	7	8	8	2	11	6	4	5	4	5	4	1	Root;k__Bacteria
Otu002071	0	0	2	11	7	4	1	4	5	3	21	7	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas_mexicana
Otu002072	10	13	12	1	2	6	4	2	4	5	4	2	Root;k__Bacteria;p__Latescibacteria;c__;o__;f__;g__;s__
Otu002073	5	8	27	5	3	4	2	3	6	2	0	0	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
