Otu	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-1	TC-2	TC-3
Otu001214	10	16	1	9	9	9	13	38	3	20	3	19
Otu001215	29	18	5	8	14	6	6	25	14	10	6	9
Otu001216	20	25	4	11	20	25	10	19	8	7	1	0
Otu001217	3	32	9	10	15	3	6	33	10	9	6	13
Otu001218	29	17	13	18	12	11	2	13	3	14	9	8
Otu001219	19	14	2	6	7	4	9	60	6	10	5	7
Otu001220	13	15	65	5	5	5	7	11	9	3	4	7
Otu001221	13	14	0	6	9	16	11	53	11	10	0	6
Otu001222	24	20	28	8	12	14	7	9	13	4	6	4
Otu001223	20	21	18	17	16	10	5	7	9	9	7	9
Otu001224	8	5	1	14	17	10	5	11	10	12	19	36
Otu001225	27	13	16	8	17	7	11	11	8	13	3	13
Otu001226	13	20	20	7	22	12	8	10	14	8	6	7
Otu001227	8	4	4	8	13	11	14	12	22	17	17	17
Otu001228	34	17	0	12	22	10	11	12	6	14	9	0
Otu001229	12	14	16	6	12	6	16	19	17	12	10	7
Otu001230	22	23	33	8	13	11	5	8	9	1	9	5
Otu001231	20	21	14	13	12	13	15	13	10	7	5	4
Otu001232	15	11	11	14	16	20	9	11	7	10	8	14
Otu001233	10	9	11	8	7	5	18	20	13	9	12	24
Otu001234	18	19	8	10	12	7	9	17	12	12	13	9
Otu001235	18	22	21	8	15	13	12	6	15	0	7	8
Otu001236	6	8	5	5	14	2	14	28	10	18	11	24
Otu001237	21	16	24	11	12	5	17	13	10	3	4	9
Otu001238	28	17	31	7	8	3	9	15	10	2	6	9
Otu001239	15	2	1	5	14	21	7	6	2	21	12	39
Otu001240	46	28	23	9	15	8	1	4	7	0	3	1
Otu001241	20	24	25	7	12	7	13	12	9	2	6	8
Otu001242	26	15	28	10	16	9	8	4	13	2	10	3
Otu001243	11	12	0	4	3	4	9	26	14	26	13	22
Otu001244	19	16	22	7	8	10	12	13	16	3	5	13
Otu001245	15	15	14	10	10	9	13	10	25	10	7	6
Otu001246	11	18	18	17	19	12	10	8	12	5	7	7
Otu001247	5	32	3	12	20	6	3	19	5	4	7	27
Otu001248	8	15	22	11	14	11	11	10	17	12	8	4
Otu001249	19	12	17	12	19	7	8	8	13	7	8	13
Otu001250	14	12	26	5	5	3	13	16	23	7	10	9
Otu001251	19	16	16	11	7	11	6	14	21	6	8	8
Otu001252	2	0	0	10	48	22	1	21	1	8	21	8
Otu001253	8	10	10	18	34	11	3	7	2	15	8	16
Otu001254	22	22	28	2	9	15	8	6	7	9	8	6
Otu001255	11	21	62	7	2	13	7	8	4	0	2	5
Otu001256	25	15	38	3	4	9	11	6	12	4	7	8
Otu001257	14	20	9	15	12	11	12	9	10	15	12	3
Otu001258	7	3	8	5	9	9	21	25	25	10	11	9
Otu001259	14	9	8	19	17	21	8	9	10	9	9	9
Otu001260	7	7	14	17	12	10	4	7	4	14	27	19
Otu001261	13	19	9	5	9	6	12	22	17	5	8	16
Otu001262	12	14	7	6	9	13	10	19	8	8	20	15
Otu001263	11	16	11	9	7	13	6	24	15	5	14	10
Otu001264	35	24	20	13	9	19	4	3	4	0	7	3
Otu001265	12	13	6	2	1	5	15	9	18	4	29	27
Otu001266	0	2	5	2	4	5	5	18	7	50	15	27
Otu001267	5	2	4	21	18	14	18	6	9	13	16	14
Otu001268	11	14	38	7	9	8	17	6	15	4	1	10
Otu001269	18	1	10	0	2	4	17	18	1	15	6	48
Otu001270	0	5	120	2	3	0	4	2	2	0	2	0
Otu001271	2	2	0	8	4	6	30	53	24	7	0	3
Otu001272	12	9	15	12	11	9	9	19	16	6	13	8
Otu001273	25	17	14	3	8	17	17	6	18	3	3	8
Otu001274	5	7	3	17	31	16	3	17	7	18	9	6
Otu001275	23	19	40	8	7	12	7	9	6	3	0	5
Otu001276	21	20	21	10	13	12	8	13	10	4	1	6
Otu001277	2	1	2	3	2	2	22	33	27	21	10	14
Otu001278	20	22	13	12	9	4	12	12	13	4	10	8
Otu001279	13	19	4	8	18	9	16	30	9	10	0	2
Otu001280	29	16	23	8	9	8	11	7	16	3	3	5
Otu001281	19	26	1	5	2	7	6	31	2	5	7	27
Otu001282	8	15	31	7	4	3	15	15	0	0	26	13
Otu001283	19	15	46	7	2	6	9	7	7	3	7	9
Otu001284	11	17	20	4	10	2	11	20	11	6	10	15
Otu001285	1	9	1	3	9	9	19	30	21	16	2	17
Otu001286	23	22	39	13	8	9	3	7	5	2	3	3
Otu001287	2	0	4	8	8	5	21	15	17	15	23	19
Otu001288	4	9	10	10	77	22	1	0	0	4	0	0
Otu001289	22	16	11	14	15	17	8	10	8	6	5	5
Otu001290	5	4	2	2	0	3	17	24	13	14	19	34
Otu001291	17	5	11	11	5	5	11	17	19	8	15	13
Otu001292	4	19	1	5	10	4	11	19	5	13	7	39
Otu001293	14	17	19	8	15	16	7	9	8	4	3	16
Otu001294	15	10	6	12	18	10	12	10	10	9	13	11
Otu001295	11	5	11	8	5	1	9	13	21	18	22	12
Otu001296	24	6	4	5	5	6	14	45	7	15	1	4
Otu001297	8	29	10	7	10	11	12	20	13	5	0	11
Otu001298	22	24	33	2	11	6	6	5	7	5	7	8
Otu001299	12	11	54	7	5	9	2	17	5	5	3	5
Otu001300	25	12	20	7	12	7	8	7	16	4	6	11
Otu001301	11	10	12	6	11	16	9	13	13	13	13	8
Otu001302	2	3	1	12	5	8	9	24	19	18	21	13
Otu001303	6	7	10	10	7	7	10	10	16	18	22	12
Otu001304	25	17	3	8	7	10	14	38	8	3	0	2
Otu001305	16	23	13	6	12	7	16	16	14	3	4	5
Otu001306	21	18	25	6	16	6	6	10	9	4	9	5
Otu001307	5	32	6	13	13	13	11	13	7	6	1	15
Otu001308	22	21	13	11	19	10	9	12	6	2	4	6
Otu001309	20	10	6	10	11	15	7	13	15	3	7	18
Otu001310	6	4	0	9	13	13	17	19	25	8	12	9
Otu001311	7	7	18	23	26	9	1	13	6	9	3	12
Otu001312	11	15	28	6	14	13	10	5	12	5	3	12
Otu001313	11	33	2	10	21	13	3	6	8	6	4	17
Otu001314	11	24	28	9	7	5	9	9	16	2	6	8
Otu001315	4	15	4	5	16	6	6	22	26	9	1	19
Otu001316	16	29	33	4	9	11	5	6	13	0	3	4
Otu001317	17	8	26	6	12	5	14	5	12	4	13	11
Otu001318	14	20	21	8	6	8	14	6	15	8	12	1
Otu001319	17	24	7	3	9	13	18	16	8	4	6	8
Otu001320	11	22	15	9	15	8	14	13	9	6	7	4
Otu001321	8	5	21	4	7	3	14	17	13	10	12	19
Otu001322	16	11	9	12	17	11	14	13	12	4	6	7
Otu001323	4	17	17	4	12	6	12	31	5	12	1	11
Otu001324	2	8	1	4	5	5	13	29	13	10	4	38
Otu001325	14	13	12	6	11	5	17	18	14	4	6	12
Otu001326	20	12	22	5	6	8	11	8	6	10	10	14
Otu001327	26	14	27	5	7	9	9	8	9	2	6	10
Otu001328	12	14	16	10	4	9	13	13	16	10	9	6
Otu001329	2	6	8	3	14	0	16	23	9	10	12	28
Otu001330	10	34	4	9	18	2	12	13	11	1	2	15
Otu001331	1	16	11	5	13	9	7	39	11	3	6	10
Otu001332	23	21	34	8	3	7	3	12	2	1	5	12
Otu001333	16	24	37	2	13	9	5	4	3	4	11	2
Otu001334	15	11	16	10	11	9	9	8	21	5	8	7
Otu001335	13	20	26	21	17	13	2	4	5	4	1	4
Otu001336	15	21	25	13	7	11	4	8	10	6	5	5
Otu001337	7	11	6	9	14	9	18	11	20	10	7	8
Otu001338	4	13	2	0	5	4	5	72	4	6	5	10
Otu001339	17	16	26	7	19	2	15	12	10	2	3	1
Otu001340	19	22	20	8	12	12	6	5	10	1	7	8
Otu001341	16	8	0	12	9	10	10	33	10	17	2	2
Otu001342	0	0	0	13	17	20	24	0	4	37	10	4
Otu001343	25	13	17	7	4	9	16	10	17	5	2	4
Otu001344	8	22	23	14	11	6	13	12	2	5	8	5
Otu001345	5	17	2	16	9	10	13	12	19	6	1	18
Otu001346	24	22	15	9	11	3	9	12	11	3	3	6
Otu001347	17	29	22	9	12	7	9	6	5	0	8	4
Otu001348	14	18	0	0	9	2	9	8	6	60	1	1
Otu001349	4	6	12	8	9	11	16	13	11	5	23	10
Otu001350	13	17	8	7	12	13	8	11	24	5	4	6
Otu001351	19	24	0	8	5	8	8	31	14	7	1	3
Otu001352	5	5	8	3	6	17	17	25	16	7	10	9
Otu001353	7	9	10	0	7	10	21	6	25	8	9	16
Otu001354	22	7	16	13	8	6	13	10	10	2	8	12
Otu001355	0	8	0	3	8	5	11	16	17	21	4	34
Otu001356	0	2	1	12	23	20	7	2	6	10	19	25
Otu001357	26	18	11	7	17	13	4	8	8	3	7	5
Otu001358	19	17	19	4	9	10	13	8	9	5	8	6
Otu001359	2	5	0	1	0	0	8	1	6	15	41	48
Otu001360	11	16	22	8	6	6	7	12	13	3	3	20
Otu001361	6	10	2	12	20	15	9	8	8	6	14	17
Otu001362	5	7	3	13	23	12	18	18	16	2	3	6
Otu001363	4	25	3	10	8	12	10	16	14	3	2	19
Otu001364	3	4	6	3	5	5	13	23	16	9	18	21
Otu001365	17	18	14	3	12	15	13	4	15	2	11	2
Otu001366	13	21	7	6	10	3	14	24	14	6	2	6
Otu001367	45	23	11	0	4	5	8	12	12	1	3	2
Otu001368	2	25	2	8	15	21	8	10	15	11	0	9
Otu001369	15	14	24	11	10	10	9	9	7	4	10	3
Otu001370	27	17	17	7	10	9	7	8	7	4	8	5
Otu001371	17	17	5	2	1	8	6	38	9	14	1	8
Otu001372	16	17	16	7	13	5	14	9	13	9	3	4
Otu001373	0	0	1	8	18	8	3	4	14	25	37	8
Otu001374	22	9	15	5	6	5	8	13	17	7	11	7
Otu001375	0	3	5	11	4	78	1	0	6	4	5	8
Otu001376	9	35	2	18	21	12	7	7	3	5	0	6
Otu001377	12	11	12	5	11	4	13	17	18	7	6	9
Otu001378	15	13	9	8	11	5	17	14	14	4	2	13
Otu001379	21	13	9	11	10	11	16	9	10	5	5	5
Otu001380	10	8	5	4	4	5	19	13	21	9	16	11
Otu001381	17	22	2	10	7	7	8	30	15	4	1	2
Otu001382	6	2	10	8	7	6	9	1	9	14	34	19
Otu001383	5	80	4	1	12	3	2	12	2	1	0	3
Otu001384	12	10	13	6	6	16	12	8	18	8	9	6
Otu001385	12	11	11	9	5	9	18	10	25	6	2	6
Otu001386	3	8	8	6	13	3	14	19	5	12	19	14
Otu001387	15	24	7	9	16	6	10	9	5	6	9	8
Otu001388	12	11	6	7	7	9	20	6	16	10	5	15
Otu001389	19	17	14	11	11	13	7	7	10	3	6	6
Otu001390	6	10	18	8	19	9	3	3	7	11	12	18
Otu001391	9	20	37	9	1	1	15	9	9	4	2	8
Otu001392	18	12	19	7	9	6	12	10	15	3	6	7
Otu001393	26	20	10	5	9	8	10	7	12	5	3	9
Otu001394	6	11	16	6	12	15	7	14	12	5	6	13
Otu001395	4	27	2	12	11	7	5	14	5	10	2	24
Otu001396	4	10	10	10	15	8	9	18	7	10	11	11
Otu001397	19	17	22	2	6	9	7	14	6	5	7	9
Otu001398	13	22	47	3	6	13	5	5	2	2	3	1
Otu001399	16	13	19	11	6	13	12	9	10	3	1	9
Otu001400	0	3	0	30	3	5	2	1	1	27	28	22
Otu001401	17	21	19	7	7	6	12	11	8	5	6	3
Otu001402	7	16	1	12	8	15	9	18	14	6	0	16
Otu001403	9	13	4	5	10	4	12	12	8	7	25	13
Otu001404	3	0	2	4	4	2	9	19	12	14	27	26
Otu001405	32	20	4	10	6	14	7	18	5	4	0	2
Otu001406	16	21	4	3	1	6	2	18	2	11	16	22
Otu001407	16	10	5	6	2	4	13	34	13	6	5	8
Otu001408	15	16	19	7	6	8	11	9	16	4	5	6
Otu001409	11	20	4	4	9	5	6	34	23	2	0	3
Otu001410	11	16	1	6	8	6	13	43	11	4	1	1
Otu001411	4	14	3	9	17	16	13	13	13	10	2	7
Otu001412	15	14	7	11	15	9	21	1	10	7	3	8
Otu001413	15	14	10	17	13	13	2	5	8	8	5	11
Otu001414	11	17	48	6	6	5	1	7	8	0	7	5
Otu001415	13	3	10	5	15	5	10	18	11	6	13	12
Otu001416	1	0	1	4	3	34	7	3	13	19	21	15
Otu001417	10	31	13	8	18	11	5	6	4	1	10	3
Otu001418	22	13	26	4	9	3	3	11	11	4	7	7
Otu001419	8	12	7	8	22	13	5	8	12	8	9	8
Otu001420	12	14	20	6	12	0	11	15	8	9	6	7
Otu001421	9	37	10	10	4	11	5	8	11	8	1	6
Otu001422	22	22	22	9	14	11	3	4	6	0	2	5
Otu001423	19	16	24	10	5	6	7	8	9	5	3	8
Otu001424	13	17	14	14	9	6	12	12	9	4	4	6
Otu001425	14	26	11	5	7	7	12	8	14	6	3	6
Otu001426	8	12	6	8	4	23	15	5	9	12	12	5
Otu001427	23	18	19	3	6	9	17	4	11	2	4	3
Otu001428	2	4	0	16	52	10	1	2	4	18	9	1
Otu001429	17	8	16	3	9	5	17	11	15	3	7	8
Otu001430	8	8	19	5	7	15	12	11	21	4	3	6
Otu001431	19	19	27	12	9	7	3	9	6	2	1	5
Otu001432	5	18	2	10	9	8	10	23	5	9	3	16
Otu001433	10	14	7	3	14	10	12	10	9	11	8	10
Otu001434	13	16	3	19	5	7	9	28	13	5	0	0
Otu001435	10	9	14	8	2	7	12	8	19	6	13	10
Otu001436	7	8	10	8	16	9	9	6	9	15	8	13
Otu001437	5	3	2	3	1	3	13	12	20	10	16	30
Otu001438	6	7	5	12	19	20	13	6	8	8	6	8
Otu001439	12	16	11	8	9	7	13	9	12	4	2	14
Otu001440	34	20	23	8	7	7	2	3	6	3	1	3
Otu001441	13	11	12	10	9	3	7	19	6	10	13	4
Otu001442	7	36	6	15	9	9	5	9	5	2	2	12
Otu001443	6	2	14	8	6	7	8	15	8	5	27	11
Otu001444	10	2	4	9	17	11	6	10	3	20	12	13
Otu001445	5	13	12	6	15	2	11	15	7	10	15	6
Otu001446	9	6	14	2	9	4	11	14	9	9	14	15
Otu001447	1	10	0	3	10	4	0	14	2	7	2	63
Otu001448	8	15	7	8	3	2	15	15	14	11	10	8
Otu001449	5	34	7	11	10	4	4	11	7	6	3	14
Otu001450	33	18	0	11	8	2	7	17	2	9	5	4
Otu001451	22	15	37	5	0	11	6	8	6	1	2	3
Otu001452	22	11	25	6	8	14	4	8	5	6	2	5
Otu001453	14	5	11	5	2	10	20	9	11	3	11	15
Otu001454	17	8	12	10	6	8	8	12	17	4	5	9
Otu001455	24	9	6	6	12	10	15	6	9	2	7	10
Otu001456	3	6	6	20	20	23	2	4	5	6	9	12
Otu001457	15	13	16	6	8	9	5	11	15	2	9	7
Otu001458	16	8	11	8	5	8	16	8	16	4	6	10
Otu001459	14	18	24	9	14	3	6	4	4	6	7	6
Otu001460	15	8	19	6	10	4	7	7	13	5	8	13
Otu001461	11	7	9	8	8	7	10	6	20	9	16	4
Otu001462	5	4	3	3	3	1	8	8	10	10	8	52
Otu001463	9	10	15	7	13	5	12	9	17	5	6	7
Otu001464	8	42	4	9	12	8	5	7	6	7	0	7
Otu001465	14	12	9	0	7	3	14	15	10	5	15	11
Otu001466	24	14	1	7	25	5	2	9	5	19	3	1
Otu001467	15	11	6	3	13	8	14	12	14	5	7	7
Otu001468	18	11	15	13	13	3	6	8	1	9	5	12
Otu001469	14	14	17	5	5	9	12	6	16	7	6	3
Otu001470	63	7	3	7	9	2	1	1	1	8	2	10
Otu001471	7	18	0	7	18	5	5	34	5	15	0	0
Otu001472	17	15	1	4	7	1	8	19	13	7	9	13
Otu001473	3	12	13	7	6	6	7	12	15	9	12	12
Otu001474	11	18	20	3	7	5	13	11	18	3	2	3
Otu001475	11	18	15	10	8	7	8	7	13	6	4	7
Otu001476	24	24	11	6	10	14	12	4	4	1	2	2
Otu001477	16	1	2	4	6	11	3	11	9	6	18	27
Otu001478	1	2	0	8	6	1	16	15	7	17	25	16
Otu001479	16	16	17	14	7	14	7	9	4	3	3	4
Otu001480	10	2	6	3	9	2	21	13	14	15	9	9
Otu001481	10	5	17	7	4	0	11	15	16	6	21	1
Otu001482	7	29	7	8	11	8	5	14	8	2	1	13
Otu001483	2	35	3	12	9	24	2	5	5	4	3	9
Otu001484	9	11	21	18	19	13	3	7	4	0	5	3
Otu001485	21	24	16	1	8	10	8	2	9	1	10	3
Otu001486	7	13	7	9	17	6	11	5	20	3	7	8
Otu001487	15	18	14	15	22	5	5	2	4	4	2	7
Otu001488	6	6	10	5	5	3	15	15	14	7	13	14
Otu001489	35	17	6	4	18	5	6	9	11	1	1	0
Otu001490	21	16	12	6	4	7	13	11	12	2	4	4
Otu001491	1	1	7	5	3	2	7	14	12	15	14	31
Otu001492	15	9	10	7	0	6	7	13	11	9	13	12
Otu001493	10	18	13	4	14	4	7	17	10	6	5	4
Otu001494	15	23	10	4	6	7	9	13	14	1	5	5
Otu001495	7	26	6	14	4	12	10	15	8	1	3	6
Otu001496	2	1	2	2	2	3	13	15	29	21	12	9
Otu001497	7	17	7	4	33	2	7	5	4	14	7	4
Otu001498	12	13	8	5	5	3	13	10	7	14	3	18
Otu001499	9	10	17	1	5	4	18	5	14	2	13	13
Otu001500	17	23	9	6	12	3	2	9	11	3	8	8
Otu001501	0	0	0	0	0	0	26	19	29	10	15	12
Otu001502	0	0	0	10	0	13	0	0	1	16	43	28
Otu001503	14	12	21	4	6	4	9	13	7	3	8	9
Otu001504	22	14	15	10	6	7	8	9	10	2	3	4
Otu001505	16	12	11	7	9	7	11	11	18	3	3	2
Otu001506	28	14	8	5	5	7	8	14	10	3	3	5
Otu001507	7	13	0	12	7	7	13	15	9	7	3	17
Otu001508	19	7	15	17	7	13	10	5	6	4	4	3
Otu001509	2	21	3	10	3	5	12	24	13	10	1	6
Otu001510	4	12	7	7	19	6	9	10	7	12	9	8
Otu001511	6	3	7	5	3	7	9	22	14	11	8	15
Otu001512	3	25	4	8	8	8	9	12	12	4	5	12
Otu001513	18	15	23	8	2	6	15	7	7	1	5	2
Otu001514	24	6	17	7	11	3	5	8	13	5	3	7
Otu001515	10	15	3	19	12	9	9	1	10	10	1	10
Otu001516	19	28	19	9	7	5	7	1	3	1	4	6
Otu001517	0	10	2	4	10	5	5	21	17	11	8	16
Otu001518	13	15	8	11	16	8	7	5	6	4	4	12
Otu001519	13	24	24	9	4	12	2	12	3	2	1	3
Otu001520	16	15	9	3	9	2	19	16	8	6	3	3
Otu001521	31	7	21	0	9	6	7	9	11	2	5	1
Otu001522	13	7	20	9	13	5	4	3	14	10	5	6
Otu001523	19	9	17	11	14	9	1	7	4	6	1	11
Otu001524	18	11	17	11	12	2	20	6	2	3	3	4
Otu001525	22	13	6	4	4	8	15	8	24	3	1	1
Otu001526	23	8	21	13	5	12	5	5	7	1	7	2
Otu001527	21	19	4	11	10	1	9	11	1	4	6	11
Otu001528	13	27	1	9	4	4	8	22	9	7	0	4
Otu001529	2	2	7	4	4	6	16	18	9	8	20	12
Otu001530	0	1	0	0	0	1	24	14	31	7	18	12
Otu001531	6	3	1	9	22	19	5	4	8	9	15	7
Otu001532	2	7	0	9	17	14	11	9	7	12	2	18
Otu001533	18	23	22	11	16	12	3	0	2	0	1	0
Otu001534	14	8	1	3	8	2	17	35	8	8	0	3
Otu001535	0	0	0	3	0	0	10	6	14	6	43	25
Otu001536	5	16	4	7	7	1	5	15	7	15	11	14
Otu001537	2	33	0	5	22	3	3	0	0	32	5	2
Otu001538	16	9	13	2	13	10	9	7	20	1	4	3
Otu001539	23	29	7	7	14	3	6	6	3	1	2	6
Otu001540	6	26	2	7	7	12	10	17	8	3	2	7
Otu001541	21	20	12	1	5	6	10	4	14	6	6	2
Otu001542	4	3	1	12	4	12	11	6	11	13	15	15
Otu001543	15	14	8	7	11	8	7	5	13	5	3	11
Otu001544	24	11	9	3	2	10	10	8	11	7	6	6
Otu001545	0	1	0	0	10	1	18	8	4	10	11	43
Otu001546	21	18	12	10	20	20	0	0	1	2	1	1
Otu001547	6	17	11	2	3	5	12	11	19	3	8	9
Otu001548	23	11	17	8	7	4	8	9	6	2	6	5
Otu001549	24	13	23	6	10	8	7	3	6	2	2	2
Otu001550	4	7	12	4	8	10	9	16	12	7	13	4
Otu001551	2	7	0	5	17	16	7	22	9	11	1	8
Otu001552	15	20	0	7	4	19	4	29	2	5	0	0
Otu001553	8	2	9	2	8	8	19	7	18	4	10	10
Otu001554	5	2	7	1	9	1	7	14	26	4	10	19
Otu001555	11	12	7	6	21	11	15	4	7	6	3	2
Otu001556	4	4	9	7	10	7	11	7	11	6	14	15
Otu001557	19	20	10	5	13	4	9	9	6	2	2	6
Otu001558	13	6	13	5	4	8	10	11	13	8	9	5
Otu001559	13	10	9	5	9	5	11	12	15	4	8	4
Otu001560	21	20	13	3	4	6	6	11	7	3	3	7
Otu001561	13	18	13	12	8	5	5	18	1	1	3	7
Otu001562	12	16	12	10	9	4	4	15	9	1	3	9
Otu001563	7	10	9	2	15	2	18	13	9	13	3	3
Otu001564	29	39	5	1	1	6	7	8	8	0	0	0
Otu001565	18	12	14	3	3	3	11	6	14	3	7	10
Otu001566	0	4	0	8	11	10	0	1	0	32	4	33
Otu001567	11	19	10	7	11	9	8	4	8	5	3	8
Otu001568	8	20	20	11	13	4	0	4	9	2	7	5
Otu001569	9	16	7	6	14	9	13	7	9	5	4	4
Otu001570	17	15	19	4	4	6	5	5	13	7	3	5
Otu001571	13	7	3	4	11	7	5	9	14	10	6	14
Otu001572	3	16	2	5	8	5	13	26	11	7	3	4
Otu001573	3	0	1	3	2	3	15	9	20	21	19	6
Otu001574	4	25	2	7	9	9	7	12	9	5	2	11
Otu001575	12	9	10	8	11	2	9	4	16	6	6	9
Otu001576	3	39	7	6	12	2	2	6	10	6	2	7
Otu001577	0	1	0	1	0	1	12	16	7	38	5	21
Otu001578	5	14	3	5	6	9	5	17	17	6	2	13
Otu001579	12	8	23	6	4	9	3	6	13	4	9	5
Otu001580	22	9	0	4	13	4	8	15	1	17	5	4
Otu001581	10	15	36	4	2	3	7	10	6	3	3	3
Otu001582	10	12	3	10	8	7	15	10	8	4	7	8
Otu001583	17	17	10	10	3	4	11	6	4	1	9	10
Otu001584	10	7	22	4	14	4	4	13	8	2	7	7
Otu001585	19	9	19	1	3	7	13	10	16	2	0	3
Otu001586	0	1	6	25	3	18	11	2	4	7	21	3
Otu001587	15	11	13	4	4	2	8	15	6	7	8	8
Otu001588	10	14	13	6	4	7	9	5	12	5	6	10
Otu001589	3	9	4	28	10	8	5	9	2	4	15	4
Otu001590	15	11	13	2	6	8	9	11	14	3	5	4
Otu001591	13	15	44	3	4	4	4	3	1	4	2	4
Otu001592	7	7	9	2	9	4	11	16	6	11	13	6
Otu001593	10	20	2	6	3	7	6	14	8	4	6	15
Otu001594	11	8	4	6	9	8	8	14	15	2	6	10
Otu001595	10	8	7	9	15	8	11	3	8	8	5	8
Otu001596	3	15	0	13	14	11	6	7	17	5	2	7
Otu001597	17	10	16	3	5	6	7	5	6	11	8	6
Otu001598	16	8	0	1	5	4	6	38	3	15	0	4
Otu001599	12	21	12	2	8	8	9	8	6	3	3	7
Otu001600	16	17	14	6	9	7	7	6	9	2	4	2
Otu001601	1	0	0	10	8	1	0	0	4	34	19	22
Otu001602	11	9	20	2	10	6	11	9	4	4	6	7
Otu001603	13	12	25	8	2	3	11	8	7	4	4	2
Otu001604	18	8	11	10	10	7	9	5	11	3	3	4
Otu001605	14	11	12	3	4	14	7	5	10	4	8	7
Otu001606	3	11	10	20	14	6	4	1	17	3	1	9
Otu001607	2	0	0	4	38	0	11	8	7	12	5	12
Otu001608	11	20	16	15	12	4	8	1	3	1	1	7
Otu001609	9	10	4	5	12	5	8	33	6	5	2	0
Otu001610	6	7	9	8	20	13	4	4	9	10	5	4
Otu001611	19	6	10	4	5	6	11	8	15	5	8	2
Otu001612	22	9	14	14	12	2	3	4	3	5	6	4
Otu001613	24	15	13	5	9	5	7	9	4	2	1	4
Otu001614	12	9	8	6	13	5	2	7	11	5	16	4
Otu001615	0	3	1	4	2	2	8	21	4	16	13	24
Otu001616	2	48	4	2	3	0	4	6	4	15	1	9
Otu001617	8	16	6	8	11	13	10	11	4	10	0	1
Otu001618	13	14	19	4	9	5	11	7	4	4	1	7
Otu001619	11	4	3	4	55	4	2	0	0	2	8	4
Otu001620	5	18	4	8	15	5	7	15	8	3	3	6
Otu001621	1	0	0	2	5	6	13	10	13	6	25	16
Otu001622	17	18	21	1	4	6	10	11	6	2	0	1
Otu001623	4	11	4	2	7	2	14	21	5	8	10	9
Otu001624	6	12	3	5	2	3	9	32	4	14	2	5
Otu001625	4	20	3	7	4	6	2	12	11	10	4	14
Otu001626	3	8	6	6	20	4	8	15	5	15	5	2
Otu001627	17	19	44	4	5	4	1	1	0	0	0	2
Otu001628	2	0	0	1	0	0	6	2	0	5	38	43
Otu001629	2	12	6	9	4	4	14	17	13	8	0	8
Otu001630	14	7	35	4	12	2	3	5	6	3	3	3
Otu001631	7	14	11	3	11	7	12	6	10	5	2	9
Otu001632	9	20	34	10	10	3	0	3	2	5	0	1
Otu001633	3	4	5	5	7	4	12	13	12	10	12	9
Otu001634	13	4	3	3	26	11	7	16	10	3	0	0
Otu001635	20	18	16	5	8	5	5	7	5	2	2	3
Otu001636	19	31	13	9	9	2	3	3	6	0	0	1
Otu001637	4	3	2	3	4	5	20	8	30	5	8	4
Otu001638	2	4	1	0	2	5	3	9	6	8	33	23
Otu001639	3	40	6	7	5	5	5	13	3	2	0	7
Otu001640	4	6	0	3	3	4	14	9	9	20	13	11
Otu001641	15	12	11	7	1	6	10	5	8	4	8	9
Otu001642	7	16	4	8	6	5	7	27	11	3	2	0
Otu001643	4	28	4	7	8	7	8	10	6	5	2	7
Otu001644	1	3	0	27	4	12	0	13	1	30	1	4
Otu001645	6	15	44	8	9	5	1	1	3	3	0	1
Otu001646	21	11	23	6	7	5	8	1	3	2	3	5
Otu001647	2	3	0	8	21	15	16	4	2	9	14	1
Otu001648	3	21	0	5	19	3	2	1	1	31	8	1
Otu001649	10	17	14	1	10	3	6	10	11	3	5	5
Otu001650	2	6	1	9	7	11	6	11	9	5	3	25
Otu001651	5	12	0	10	4	2	1	9	9	10	15	18
Otu001652	7	21	3	7	19	11	1	5	7	3	2	9
Otu001653	7	27	3	2	7	2	9	9	11	4	2	12
Otu001654	7	6	5	9	9	4	5	10	11	12	10	7
Otu001655	8	21	8	12	3	8	9	12	5	2	1	6
Otu001656	2	1	6	7	11	23	2	5	4	14	8	12
Otu001657	4	16	0	6	9	10	7	13	12	7	1	10
Otu001658	14	13	7	9	11	8	4	5	8	5	2	9
Otu001659	23	29	10	7	9	6	1	0	2	3	1	3
Otu001660	4	31	5	7	29	9	3	1	2	0	0	3
Otu001661	3	2	5	8	23	12	5	5	7	7	10	7
Otu001662	1	10	4	8	9	12	6	12	12	5	4	11
Otu001663	16	5	14	3	9	5	15	5	6	1	6	9
Otu001664	1	5	5	6	31	17	0	1	2	19	5	2
Otu001665	2	9	3	21	18	9	4	8	5	7	3	5
Otu001666	15	11	22	6	7	9	9	5	3	1	4	2
Otu001667	8	22	15	5	6	1	7	6	5	6	6	7
Otu001668	4	1	6	7	28	12	3	3	2	12	2	14
Otu001669	2	3	0	2	3	4	6	9	4	7	23	31
Otu001670	8	16	1	9	6	3	8	29	1	7	1	4
Otu001671	2	10	5	7	12	11	8	10	11	7	2	8
Otu001672	5	26	3	6	6	8	2	12	5	7	1	12
Otu001673	2	2	10	10	16	35	2	1	1	6	5	3
Otu001674	9	7	2	4	3	3	11	24	8	16	3	3
Otu001675	9	17	1	5	5	5	7	27	12	5	0	0
Otu001676	8	9	9	8	2	4	12	9	11	9	4	8
Otu001677	16	12	1	8	14	5	7	15	8	7	0	0
