	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_15010_3.txt	15010	3	4582.60606061	4924.82867133	4157.91004184	3867.3125	4158.8705036	4130.70379147	4459.66828087	4384.6943128	4384.17985612	4226.59230769	3109.32590529	3725.59893048
alpha_rarefaction_15010_4.txt	15010	4	4469.51461988	4737.56492411	4247.15486726	4031.71712159	4073.46428571	4197.50700935	4198.7	4292.08064516	4385.73824131	4123.19083969	3269.21846154	3983.42307692
alpha_rarefaction_15010_5.txt	15010	5	4289.47850467	4816.33333333	4054.45127119	3994.8540146	4203.93366093	3915.9627193	4257.26315789	4255.27136752	4490.62025316	3904.96073298	3257.05915493	3582.25454545
alpha_rarefaction_15010_6.txt	15010	6	4569.66666667	4926.56238698	4036.77440347	4158.54102564	4042.33658537	4360.48267898	4290.90021692	4440.00684932	4335.88841202	3874.37906977	3392.04885993	3648.37209302
alpha_rarefaction_15010_7.txt	15010	7	4566.47184466	4818.03743316	4201.36876356	3833.40420561	4131.88235294	4205.99045346	4428.328125	4142.37086093	4261.453125	3933.92592593	3340.74772036	3766.24668435
alpha_rarefaction_15010_8.txt	15010	8	4542.39337474	5033.77168142	4131.49364407	4029.76070529	4105.5	4153.60747664	4194.77568134	4269.27983539	4131.30891089	3978.94827586	3173.9502924	3833.28418231
alpha_rarefaction_15010_9.txt	15010	9	4460.54882812	4770.39813084	4125.13836478	3932.33333333	4064.44964871	4253.58690176	4455.65738758	4365.56944444	4289.2633833	3838.15402844	3507.23934426	3519.28532609
alpha_rarefaction_20010_0.txt	20010	0	4734.87052811	5285.85990338	4390.92366412	4393.36086957	4271.77821782	4498.42060086	4859.37037037	4553.13373253	4747.0	4250.47368421	3816.72807018	4202.02743142
alpha_rarefaction_20010_1.txt	20010	1	5071.01544402	5267.65742251	4393.49129594	4292.00649351	4450.75204918	4372.9154013	4561.23529412	4764.7926078	4904.10721248	4408.89473684	3660.99709302	4033.2970297
alpha_rarefaction_20010_2.txt	20010	2	4809.48555957	5044.0801964	4480.02057613	4530.95671982	4571.7972973	4467.39489194	4790.11660079	4684.70414201	4924.4382716	4287.34712644	3549.38618926	4138.11111111
alpha_rarefaction_20010_3.txt	20010	3	4862.11731844	5339.28140704	4306.12572534	4198.04506438	4512.95679012	4415.0547046	4752.24031008	4665.4368932	4802.82546201	4273.25373134	3827.66570605	4013.76339286
alpha_rarefaction_20010_4.txt	20010	4	4888.10185185	5039.56896552	4366.06779661	4477.52232143	4417.8815261	4495.23255814	4739.56896552	4625.46904315	4669.0505618	4298.05117271	3784.50857143	4129.89411765
alpha_rarefaction_20010_5.txt	20010	5	4866.81081081	5524.43367347	4635.07453416	4195.27956989	4325.99416342	4460.40169133	4479.56285178	4816.10147992	4650.46927374	4108.5625	3856.44092219	4240.03350515
alpha_rarefaction_20010_6.txt	20010	6	5016.43811395	5549.06122449	4248.73025048	4304.63409563	4592.54366812	4521.09036145	4774.62476548	4579.7661597	4856.0	4409.11349036	3615.45189504	4324.89030612
alpha_rarefaction_20010_7.txt	20010	7	4868.1205036	5326.96141479	4451.45816733	4073.84567901	4290.43478261	4619.01265823	4669.46052632	4616.30645161	4712.26508227	4346.63636364	3761.53179191	4227.35
