	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_10_0.txt	10	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_10_1.txt	10	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2
alpha_rarefaction_10_2.txt	10	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
alpha_rarefaction_10_3.txt	10	3	0.0	0.0	0.0	0.2	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_10_4.txt	10	4	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
alpha_rarefaction_10_5.txt	10	5	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0
alpha_rarefaction_10_6.txt	10	6	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_10_7.txt	10	7	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
alpha_rarefaction_10_8.txt	10	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_10_9.txt	10	9	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_5010_0.txt	5010	0	0.818562874251	0.79121756487	0.822155688623	0.850898203593	0.837924151697	0.844311377246	0.830738522954	0.833532934132	0.824750499002	0.843313373253	0.869461077844	0.863672654691
alpha_rarefaction_5010_1.txt	5010	1	0.815968063872	0.793213572854	0.829341317365	0.851497005988	0.82994011976	0.842115768463	0.826147704591	0.837724550898	0.829341317365	0.849700598802	0.873652694611	0.863473053892
alpha_rarefaction_5010_2.txt	5010	2	0.815968063872	0.798003992016	0.839520958084	0.843912175649	0.842914171657	0.842115768463	0.829740518962	0.834730538922	0.825548902196	0.845309381238	0.878443113772	0.851696606786
alpha_rarefaction_5010_3.txt	5010	3	0.817764471058	0.804590818363	0.822355289421	0.843313373253	0.84251497006	0.84251497006	0.826746506986	0.832135728543	0.824750499002	0.847704590818	0.869660678643	0.860878243513
alpha_rarefaction_5010_4.txt	5010	4	0.801796407186	0.797405189621	0.828942115768	0.845708582834	0.839321357285	0.840119760479	0.831137724551	0.833133732535	0.819760479042	0.847305389222	0.874451097804	0.859481037924
alpha_rarefaction_5010_5.txt	5010	5	0.815968063872	0.797405189621	0.822954091816	0.839520958084	0.849301397206	0.838922155689	0.826546906188	0.831337325349	0.830938123752	0.854291417166	0.878243512974	0.85369261477
alpha_rarefaction_5010_6.txt	5010	6	0.811377245509	0.800399201597	0.825349301397	0.844311377246	0.843512974052	0.836726546906	0.824550898204	0.831536926148	0.826147704591	0.839920159681	0.879041916168	0.863672654691
alpha_rarefaction_5010_7.txt	5010	7	0.817165668663	0.79500998004	0.82754491018	0.845109780439	0.843912175649	0.835329341317	0.820159680639	0.835129740519	0.826147704591	0.845908183633	0.869261477046	0.852894211577
alpha_rarefaction_5010_8.txt	5010	8	0.820359281437	0.796806387226	0.830139720559	0.84371257485	0.841317365269	0.847305389222	0.831137724551	0.821157684631	0.829341317365	0.842315369261	0.877045908184	0.865469061876
alpha_rarefaction_5010_9.txt	5010	9	0.801796407186	0.797804391218	0.82994011976	0.835129740519	0.85249500998	0.838123752495	0.823153692615	0.828343313373	0.82754491018	0.854091816367	0.871057884232	0.862674650699
alpha_rarefaction_10010_0.txt	10010	0	0.885914085914	0.868931068931	0.893706293706	0.898001998002	0.898401598402	0.895304695305	0.895804195804	0.889410589411	0.887812187812	0.907092907093	0.917082917083	0.913886113886
alpha_rarefaction_10010_1.txt	10010	1	0.885214785215	0.871728271728	0.893206793207	0.904595404595	0.894105894106	0.895904095904	0.88981018981	0.894305694306	0.885214785215	0.899300699301	0.91968031968	0.906893106893
alpha_rarefaction_10010_2.txt	10010	2	0.885814185814	0.871028971029	0.897302697303	0.905894105894	0.894305694306	0.893806193806	0.891608391608	0.888611388611	0.888011988012	0.902897102897	0.923576423576	0.906993006993
alpha_rarefaction_10010_3.txt	10010	3	0.883516483516	0.873926073926	0.895304695305	0.902597402597	0.897202797203	0.9000999001	0.888111888112	0.892107892108	0.887212787213	0.899300699301	0.916983016983	0.908991008991
alpha_rarefaction_10010_4.txt	10010	4	0.886113886114	0.874225774226	0.897702297702	0.9002997003	0.894505494505	0.898401598402	0.892207792208	0.893106893107	0.891008991009	0.901798201798	0.916783216783	0.907692307692
alpha_rarefaction_10010_5.txt	10010	5	0.886513486513	0.874125874126	0.897202797203	0.898201798202	0.898401598402	0.899300699301	0.884315684316	0.88951048951	0.886613386613	0.904695304695	0.919380619381	0.906993006993
alpha_rarefaction_10010_6.txt	10010	6	0.887812187812	0.873126873127	0.89010989011	0.904295704296	0.901898101898	0.8996003996	0.89010989011	0.894805194805	0.888511488511	0.898501498501	0.917582417582	0.90999000999
alpha_rarefaction_10010_7.txt	10010	7	0.884315684316	0.87012987013	0.894505494505	0.903696303696	0.897802197802	0.894705294705	0.888911088911	0.888411588412	0.882317682318	0.8996003996	0.919180819181	0.911588411588
alpha_rarefaction_10010_8.txt	10010	8	0.887312687313	0.876123876124	0.896203796204	0.901998001998	0.897002997003	0.894105894106	0.891108891109	0.895904095904	0.886113886114	0.906193806194	0.921578421578	0.910789210789
