	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_10_0.txt	10	0	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_1.txt	10	1	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489
alpha_rarefaction_10_2.txt	10	2	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489
alpha_rarefaction_10_3.txt	10	3	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_4.txt	10	4	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_5.txt	10	5	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489
alpha_rarefaction_10_6.txt	10	6	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_7.txt	10	7	2.92192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489
alpha_rarefaction_10_8.txt	10	8	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_9.txt	10	9	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_5010_0.txt	5010	0	9.8229614788	9.9349725245	9.6732168097	9.26968831773	9.41447682666	9.43603164307	9.43870665042	9.47101852588	9.51768863131	9.2892437862	8.82219262405	9.0423638999
alpha_rarefaction_5010_1.txt	5010	1	9.73474631136	9.91373811681	9.60202412766	9.19697853141	9.40197945896	9.33360850729	9.49050691756	9.40201859225	9.44725344029	9.23883537958	8.68621760459	9.03438904509
alpha_rarefaction_5010_2.txt	5010	2	9.80320062252	9.91628883431	9.54776677249	9.21821076574	9.38439617528	9.41343045764	9.49552834193	9.50917551158	9.49677207488	9.22858960364	8.75198635501	9.15005757138
alpha_rarefaction_5010_3.txt	5010	3	9.80790981874	9.93349310001	9.66225206407	9.22906518971	9.40909387472	9.36609779459	9.51244702399	9.50212076412	9.50025868032	9.28248833239	8.76020486741	9.08954913876
alpha_rarefaction_5010_4.txt	5010	4	9.82099805334	9.94113716632	9.5997680953	9.24970556586	9.42380119997	9.38362395569	9.44656003316	9.51050640485	9.49139912875	9.29517476705	8.78628408476	9.12709181617
alpha_rarefaction_5010_5.txt	5010	5	9.79457479289	9.93603721505	9.63244705945	9.24975422745	9.3591364672	9.39561211453	9.46724754345	9.48737247635	9.45876583165	9.28961270741	8.75189421558	9.08798886801
alpha_rarefaction_5010_6.txt	5010	6	9.790196389	9.91905822725	9.6932299548	9.20852430563	9.39305841877	9.4099631888	9.43771625169	9.42641432479	9.45822825791	9.27490755414	8.75673142047	9.11177575484
alpha_rarefaction_5010_7.txt	5010	7	9.78325630642	9.8917711321	9.61215278986	9.2840760557	9.39939862164	9.40763636525	9.49349916822	9.47082263518	9.46996426006	9.35768287936	8.74597681735	9.15687171623
alpha_rarefaction_5010_8.txt	5010	8	9.73254156089	9.90886004581	9.58188795309	9.23285402084	9.38475426651	9.38154329844	9.51229003007	9.48944073759	9.46220359625	9.28374807163	8.75150411299	9.00609203111
alpha_rarefaction_5010_9.txt	5010	9	9.86897729829	9.95384209639	9.63021022218	9.27096779873	9.40157664283	9.37276338193	9.52194463513	9.5103110053	9.50086152449	9.23006206145	8.75633865655	9.11143225279
alpha_rarefaction_10010_0.txt	10010	0	10.03337235	10.182845077	9.82343372171	9.41194518977	9.5984208737	9.61321402404	9.75715053127	9.69146748384	9.668987325	9.4398316187	8.93505220017	9.22788774285
alpha_rarefaction_10010_1.txt	10010	1	10.0387824823	10.1775358939	9.81313529744	9.40202998866	9.58614147075	9.62429523066	9.70781164936	9.67105287833	9.68342687533	9.45010070763	8.9263572557	9.25668423847
alpha_rarefaction_10010_2.txt	10010	2	10.03255378	10.1789969815	9.82108712451	9.44074611811	9.57548334304	9.61159539407	9.69119094567	9.68959262438	9.68671636815	9.49044879475	8.92817024799	9.2115100239
alpha_rarefaction_10010_3.txt	10010	3	10.0199936324	10.1643748601	9.81169829362	9.42006418036	9.64112947312	9.63398632129	9.65686738385	9.65024118117	9.70226109262	9.49170440297	8.90465523245	9.26771650689
alpha_rarefaction_10010_4.txt	10010	4	10.0151170574	10.176329844	9.80865613283	9.45256246505	9.59198647491	9.57752385924	9.68150894462	9.67147120012	9.70569022728	9.47768743974	8.9310975687	9.29097600971
